#,Level,Category Name,Slug,Language,Parent Category,Full Path,Total Posts,Published,Drafts,Private,Posts Last 24 Months,First Post Date,Last Post Date,Slug Match Method
111,4,Color Revolutions,color-revolutions-de,German,World war danger updates,General updates > Geopolitics updates > World war danger updates > Color Revolutions,25,25,0,0,0,2021-02-16,2023-02-09,exact
112,1,General updates,updates-de,German,,General updates,82,82,0,0,2,2019-02-13,2024-09-07,heuristic
113,1,General updates,updates-ru,Russian,,General updates,1,1,0,0,0,2019-02-13,2019-02-13,heuristic
114,1,Geopolitics updates,updates-geopolitics-de,German,,Geopolitics updates,84,84,0,0,2,2019-03-28,2024-09-07,heuristic
115,1,Germany SI activity,location-germany,English (default),,Germany SI activity,9,9,0,0,0,2013-02-08,2020-01-22,heuristic
116,1,Global Diplomacy,global-diplomacy,English (default),,Global Diplomacy,245,243,2,0,2,2021-02-24,2026-01-26,heuristic
117,2,Afghanistan,afghanistan-allgemein-de,German,Global Diplomacy,Global Diplomacy > Afghanistan,60,60,0,0,0,2021-07-09,2022-02-11,exact
118,2,Africa,africa,English (default),Global Diplomacy,Global Diplomacy > Africa,7,7,0,0,0,2022-05-11,2024-05-15,exact
119,2,Argentina,argentina,English (default),Global Diplomacy,Global Diplomacy > Argentina,7,7,0,0,0,2021-04-03,2022-07-09,exact
120,2,Belrus,belrus,English (default),Global Diplomacy,Global Diplomacy > Belrus,4,4,0,0,0,2021-07-29,2022-05-28,exact
121,2,Bolivia,bolivia,English (default),Global Diplomacy,Global Diplomacy > Bolivia,3,3,0,0,0,2021-05-17,2021-07-28,exact
122,2,Brazil,brazil,English (default),Global Diplomacy,Global Diplomacy > Brazil,4,4,0,0,0,2021-03-17,2022-08-04,exact
123,2,Britain,britain,English (default),Global Diplomacy,Global Diplomacy > Britain,4,4,0,0,0,2021-11-03,2022-08-07,exact
124,2,China,china-de,German,Global Diplomacy,Global Diplomacy > China,52,52,0,0,1,2021-03-08,2024-12-19,exact
125,2,Costa Rica,costa-rica,English (default),Global Diplomacy,Global Diplomacy > Costa Rica,1,1,0,0,0,2021-07-28,2021-07-28,exact
126,2,Cuba,cuba,English (default),Global Diplomacy,Global Diplomacy > Cuba,4,4,0,0,0,2021-04-08,2021-09-29,exact
127,2,Dominican Republic,dominican-republic,English (default),Global Diplomacy,Global Diplomacy > Dominican Republic,3,3,0,0,0,2021-10-19,2021-11-10,exact
128,2,Ecuador,ecuador,English (default),Global Diplomacy,Global Diplomacy > Ecuador,1,1,0,0,0,2021-07-28,2021-07-28,exact
129,2,Egypt,egypt,English (default),Global Diplomacy,Global Diplomacy > Egypt,1,1,0,0,0,2021-07-23,2021-07-23,exact
130,2,El Salvador,el-salvador,English (default),Global Diplomacy,Global Diplomacy > El Salvador,4,4,0,0,0,2021-05-16,2021-06-24,exact
131,2,France,france,English (default),Global Diplomacy,Global Diplomacy > France,7,7,0,0,0,2021-08-05,2024-05-15,exact
132,2,Germany,germany,English (default),Global Diplomacy,Global Diplomacy > Germany,22,22,0,0,0,2021-07-22,2023-03-05,exact
133,2,Greece,greece,English (default),Global Diplomacy,Global Diplomacy > Greece,4,4,0,0,0,2021-05-13,2022-09-22,exact
134,2,Haiti,haiti,English (default),Global Diplomacy,Global Diplomacy > Haiti,14,14,0,0,0,2021-08-18,2022-03-26,heuristic
135,2,Honduras,honduras,English (default),Global Diplomacy,Global Diplomacy > Honduras,2,2,0,0,0,2021-05-16,2021-05-28,exact
136,2,Hungry,hungry,English (default),Global Diplomacy,Global Diplomacy > Hungry,1,1,0,0,0,2022-02-03,2022-02-03,exact
137,2,India,india,English (default),Global Diplomacy,Global Diplomacy > India,16,16,0,0,1,2021-04-07,2026-01-17,exact
138,2,Iran,iran,English (default),Global Diplomacy,Global Diplomacy > Iran,3,3,0,0,1,2021-09-07,2026-01-17,exact
139,2,Italy,italy,English (default),Global Diplomacy,Global Diplomacy > Italy,5,5,0,0,0,2021-08-01,2022-07-09,exact
140,2,Kazakhstan,kazakhstan,English (default),Global Diplomacy,Global Diplomacy > Kazakhstan,5,5,0,0,0,2021-08-08,2022-07-29,exact
141,2,Kyrgyzstan,kyrgyzstan,English (default),Global Diplomacy,Global Diplomacy > Kyrgyzstan,5,5,0,0,0,2021-09-26,2022-08-03,exact
142,2,Libya,libya,English (default),Global Diplomacy,Global Diplomacy > Libya,1,1,0,0,0,2021-09-29,2021-09-29,exact
143,2,Malaysia,malaysia,English (default),Global Diplomacy,Global Diplomacy > Malaysia,1,1,0,0,1,2024-08-05,2024-08-05,exact
144,2,Mexico,mexico,English (default),Global Diplomacy,Global Diplomacy > Mexico,9,8,1,0,0,2021-03-02,2022-12-08,exact
145,2,Mozambique,mozambique,English (default),Global Diplomacy,Global Diplomacy > Mozambique,1,1,0,0,0,2021-12-19,2021-12-19,exact
146,2,Netherlands,netherlands,English (default),Global Diplomacy,Global Diplomacy > Netherlands,1,1,0,0,0,2022-07-09,2022-07-09,exact
147,2,New Zealand,new-zealand,English (default),Global Diplomacy,Global Diplomacy > New Zealand,1,1,0,0,0,2022-08-03,2022-08-03,exact
148,2,Nicaragua,nicaragua,English (default),Global Diplomacy,Global Diplomacy > Nicaragua,1,1,0,0,0,2021-09-29,2021-09-29,exact
149,2,Nigeria,nigeria-global-diplomacy,English (default),Global Diplomacy,Global Diplomacy > Nigeria,2,2,0,0,0,2021-11-10,2022-05-11,heuristic
150,2,Norway,norway-global-diplomacy,English (default),Global Diplomacy,Global Diplomacy > Norway,1,1,0,0,0,2022-11-29,2022-11-29,heuristic
151,2,Pakistan,pakistan-global-diplomacy,English (default),Global Diplomacy,Global Diplomacy > Pakistan,20,20,0,0,1,2021-07-21,2026-01-17,heuristic
152,2,Palestine,palestine,English (default),Global Diplomacy,Global Diplomacy > Palestine,1,1,0,0,0,2024-02-10,2024-02-10,exact
153,2,Paraguay,paraguay,English (default),Global Diplomacy,Global Diplomacy > Paraguay,1,1,0,0,0,2021-07-28,2021-07-28,exact
154,2,Peru,peru,English (default),Global Diplomacy,Global Diplomacy > Peru,2,2,0,0,0,2022-01-25,2022-01-25,exact
155,2,Philipines,philipines,English (default),Global Diplomacy,Global Diplomacy > Philipines,1,1,0,0,0,2022-07-03,2022-07-03,exact
156,2,Russia,russia,English (default),Global Diplomacy,Global Diplomacy > Russia,100,100,0,0,1,2021-03-10,2024-08-26,exact
157,2,Saudi Arabia,saudi-arabia,English (default),Global Diplomacy,Global Diplomacy > Saudi Arabia,1,1,0,0,0,2022-12-08,2022-12-08,exact
158,2,So. Africa,so-africa,English (default),Global Diplomacy,Global Diplomacy > So. Africa,6,6,0,0,0,2021-05-18,2022-08-19,exact
159,2,South Korea,south-korea,English (default),Global Diplomacy,Global Diplomacy > South Korea,1,1,0,0,0,2021-07-29,2021-07-29,exact
160,2,Syria,syria-global-diplomacy,English (default),Global Diplomacy,Global Diplomacy > Syria,5,5,0,0,0,2021-05-11,2023-02-28,heuristic
161,2,Tajikistan,tajikistan,English (default),Global Diplomacy,Global Diplomacy > Tajikistan,2,2,0,0,0,2022-08-03,2022-08-03,exact
162,2,Thailand,thailand,English (default),Global Diplomacy,Global Diplomacy > Thailand,1,1,0,0,0,2022-12-03,2022-12-03,exact
163,2,Turkey,turkey,English (default),Global Diplomacy,Global Diplomacy > Turkey,2,2,0,0,0,2022-08-03,2023-02-07,exact
164,2,Turkmenistan,turkmenistan,English (default),Global Diplomacy,Global Diplomacy > Turkmenistan,3,3,0,0,0,2021-08-08,2022-07-29,exact
165,2,Ukraine,ukraine,English (default),Global Diplomacy,Global Diplomacy > Ukraine,20,20,0,0,0,2021-11-10,2022-12-08,exact
166,2,UN,un,English (default),Global Diplomacy,Global Diplomacy > UN,2,2,0,0,0,2022-08-03,2022-08-03,exact
167,2,United States,united-states,English (default),Global Diplomacy,Global Diplomacy > United States,60,58,2,0,0,2021-02-24,2022-11-29,exact
168,2,Uzbekistan,uzbekistan,English (default),Global Diplomacy,Global Diplomacy > Uzbekistan,8,8,0,0,0,2021-07-28,2022-07-29,exact
169,2,Vatican,vatican,English (default),Global Diplomacy,Global Diplomacy > Vatican,1,1,0,0,0,2022-09-01,2022-09-01,exact
170,2,Venezuela,venezuela,English (default),Global Diplomacy,Global Diplomacy > Venezuela,2,2,0,0,0,2021-04-21,2021-09-29,exact
171,2,World Food Program,world-food-program,English (default),Global Diplomacy,Global Diplomacy > World Food Program,16,16,0,0,0,2021-04-21,2022-01-07,exact
172,2,Yemen,yemen,English (default),Global Diplomacy,Global Diplomacy > Yemen,4,4,0,0,0,2021-09-29,2021-11-28,exact
173,1,Global Diplomacy,global-diplomacy-de,German,,Global Diplomacy,114,114,0,0,2,2021-03-08,2026-01-26,heuristic
174,1,Green New Deal,green-new-deal-de,German,,Green New Deal,30,30,0,0,0,2021-02-16,2022-03-25,heuristic
175,1,Haiti,haiti-allgemein-de,German,,Haiti,17,17,0,0,0,2021-08-18,2022-03-29,heuristic
176,1,Harley Schlanger Daily Update,harley_schlanger_daily_update,English (default),,Harley Schlanger Daily Update,220,217,2,1,0,2021-01-08,2022-05-11,exact
177,1,Healthcare,healthcare-updates-development,English (default),,Healthcare,101,101,0,0,0,2021-04-16,2023-11-07,heuristic
178,1,Helga media coverage or interview,hzl-coverage,English (default),,Helga media coverage or interview,85,85,0,0,14,2014-04-23,2026-04-07,heuristic
179,1,"Helga statement, article, transcript",hzl-text,English (default),,"Helga statement, article, transcript",84,83,0,1,18,2013-03-12,2026-06-19,heuristic
180,1,Helga Video,hzl-video,English (default),,Helga Video,132,132,0,0,55,2014-04-23,2025-12-19,heuristic
181,1,Helga Zepp-LaRouche,hzl,English (default),,Helga Zepp-LaRouche,186,185,1,0,25,2014-03-24,2026-01-26,heuristic
182,1,Helga Zepp-LaRouche,helga-zepp-larouche-de,German,,Helga Zepp-LaRouche,360,355,5,0,36,2014-04-10,2026-01-26,heuristic
183,2,Helga media coverage or interview,hzl-coverage-de,German,Helga Zepp-LaRouche,Helga Zepp-LaRouche > Helga media coverage or interview,61,61,0,0,17,2019-04-28,2026-04-07,exact
184,2,"Helga statement, article, transcript",hzl-text-de,German,Helga Zepp-LaRouche,"Helga Zepp-LaRouche > Helga statement, article, transcript",125,124,0,1,28,2019-05-26,2026-06-19,exact
185,2,Helga Video,hzl-video-de,German,Helga Zepp-LaRouche,Helga Zepp-LaRouche > Helga Video,234,234,0,0,60,2019-04-04,2025-12-16,exact
186,3,Helga Webcast,hzl-webcast,English (default),Helga Video,Helga Zepp-LaRouche > Helga Video > Helga Webcast,263,263,0,0,84,2017-10-11,2026-06-23,exact
187,1,Helga Zepp-LaRouche,helga-zepp-larouche-ru,Russian,,Helga Zepp-LaRouche,1,1,0,0,0,2018-05-06,2018-05-06,heuristic
188,1,History,history,English (default),,History,8,8,0,0,0,2021-06-23,2023-11-15,exact
189,1,Ibn Sina,ibn-sina,English (default),,Ibn Sina,11,11,0,0,0,2021-12-15,2022-03-25,exact
190,1,International Peace Coalition,international-peace-coalition,English (default),,International Peace Coalition,124,124,0,0,86,2023-06-20,2026-06-22,exact
191,1,Komitee Coincidenica Oppositorum (Zusammenfall der Gegensätze),komitee-coincidenica-oppositorum-zusammenfall-der-gegensatze-de,German,,Komitee Coincidenica Oppositorum (Zusammenfall der Gegensätze),16,16,0,0,0,2021-04-11,2022-01-20,exact
192,1,Locations of our activity,,unknown,,Locations of our activity,0,0,0,0,0,,,no-posts-in-export
193,2,Africa (Subsaharan) SI activity,location-africa-subsaharan,English (default),Locations of our activity,Locations of our activity > Africa (Subsaharan) SI activity,1,1,0,0,0,2019-06-26,2019-06-26,exact
194,2,Asia (Central & Northern) SI activity,location-asia-c-n,English (default),Locations of our activity,Locations of our activity > Asia (Central & Northern) SI activity,2,2,0,0,0,2018-11-28,2019-08-12,exact
195,3,Russia SI activity,location-russia,English (default),Asia (Central & Northern) SI activity,Locations of our activity > Asia (Central & Northern) SI activity > Russia SI activity,6,6,0,0,0,2016-06-07,2019-08-08,exact
196,2,"Asia (Southern, Eastern, & Southeastern) & Oceania SI activity",location-asia-s-e-se,English (default),Locations of our activity,"Locations of our activity > Asia (Southern, Eastern, & Southeastern) & Oceania SI activity",1,1,0,0,0,2016-03-03,2016-03-03,exact
197,3,China SI activity,location-china-de,German,"Asia (Southern, Eastern, & Southeastern) & Oceania SI activity","Locations of our activity > Asia (Southern, Eastern, & Southeastern) & Oceania SI activity > China SI activity",10,10,0,0,2,2019-05-26,2025-05-02,exact
198,2,Asia (Southwest) & Africa (Northern) SI activity,location-asia-sw-africa-n,English (default),Locations of our activity,Locations of our activity > Asia (Southwest) & Africa (Northern) SI activity,4,4,0,0,0,2016-03-18,2023-11-07,exact
199,2,Europe SI activity,location-europe,English (default),Locations of our activity,Locations of our activity > Europe SI activity,7,7,0,0,0,2018-02-18,2023-08-03,exact
200,3,Denmark SI activity,location-denmark,English (default),Europe SI activity,Locations of our activity > Europe SI activity > Denmark SI activity,3,3,0,0,0,2017-02-27,2021-04-26,exact
201,3,France SI activity,location-france,English (default),Europe SI activity,Locations of our activity > Europe SI activity > France SI activity,7,7,0,0,0,2018-07-15,2024-03-01,exact
202,3,Germany SI activity,location-germany-de,German,Europe SI activity,Locations of our activity > Europe SI activity > Germany SI activity,23,23,0,0,0,2019-11-17,2023-02-18,exact
203,3,Italy SI activity,italy-si-activity,English (default),Europe SI activity,Locations of our activity > Europe SI activity > Italy SI activity,1,1,0,0,0,2022-03-26,2022-03-26,exact
204,3,Sweden SI activity,location-sweden,English (default),Europe SI activity,Locations of our activity > Europe SI activity > Sweden SI activity,3,3,0,0,1,2019-07-07,2025-04-06,exact
205,2,Ibero-America SI activity,location-ibero,English (default),Locations of our activity,Locations of our activity > Ibero-America SI activity,3,3,0,0,0,2018-11-27,2022-10-13,exact
206,2,United States SI activity,location-usa,English (default),Locations of our activity,Locations of our activity > United States SI activity,9,9,0,0,0,2018-11-28,2023-08-03,heuristic
207,3,Boston SI activity,location-boston,English (default),United States SI activity,Locations of our activity > United States SI activity > Boston SI activity,7,7,0,0,0,2013-12-19,2021-04-26,exact
208,3,Detroit SI activity,location-detroit,English (default),United States SI activity,Locations of our activity > United States SI activity > Detroit SI activity,1,1,0,0,0,2021-04-26,2021-04-26,exact
209,3,Houston SI activity,location-houston,English (default),United States SI activity,Locations of our activity > United States SI activity > Houston SI activity,7,7,0,0,0,2019-01-30,2021-04-26,exact
210,3,Los Angeles SI activity,los-angeles-si-activity,English (default),United States SI activity,Locations of our activity > United States SI activity > Los Angeles SI activity,1,1,0,0,0,2019-07-03,2019-07-03,exact
211,3,New York City SI activity,location-nyc,English (default),United States SI activity,Locations of our activity > United States SI activity > New York City SI activity,34,33,0,1,0,2013-03-12,2021-04-26,heuristic
212,3,Northern Virginia SI activity,location-va,English (default),United States SI activity,Locations of our activity > United States SI activity > Northern Virginia SI activity,6,6,0,0,0,2013-10-22,2021-04-26,exact
213,3,San Francisco Bay Area SI activity,location-sf,English (default),United States SI activity,Locations of our activity > United States SI activity > San Francisco Bay Area SI activity,1,1,0,0,0,2019-07-02,2019-07-02,exact
214,3,Seattle SI activity,,unknown,United States SI activity,Locations of our activity > United States SI activity > Seattle SI activity,0,0,0,0,0,,,no-posts-in-export
215,1,Lyndon LaRouche legacy,lyndon-larouche-legacy,English (default),,Lyndon LaRouche legacy,5,5,0,0,0,2021-07-09,2022-01-01,exact
