yt_video_id,segment_index,playlist_id,conference_key,panel_title,case,kind,start_seconds,end_seconds,speaker_raw,person_key,country,affiliation,talk_title,title_autogenerated,agenda_json,chapters_json,source,upgrade_candidate,needs_review,notes,final_action,reviewer
Gep6VAh4H9o,8,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,8939,9820,"Wolfgang Effenberger",wolfgang-effenberger,,"(Germany), retired Bundeswehr officer, author of",,1,,,wp-era-b,0,0,,,
Gep6VAh4H9o,9,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,9821,10491,"Major Florian D. Pfaff",major-florian-d-pfaff,,"(Germany), spokesperson, ""Darmstadt Signal"" working group","Darmstadt Signal",0,,,wp-era-b,0,0,,,
Gep6VAh4H9o,10,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,1,talk,10492,13455,"Colonel Jacques Hogard",jacques-hogard,,"(France), former officer in the Foreign Legion and the",,1,,,wp-era-b,0,0,,,
zs9bsTyYMxo,0,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,5,full_session,,,"The Scientific Challenges in the New Paradigm",,,,"The Scientific Challenges in the New Paradigm",0,"[{""speaker_raw"":""Jason Ross, Scientific Advisor of the Schiller Institute, USA"",""person_key"":""jason-ross"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Prof. Franco Battaglia, Professor of Physical Chemistry, Modena University, Italy"",""person_key"":""franco-battaglia"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Prof. Dr. Carl-Otto Weiss, Professor and Director, German Federal Institute of Metrology, Braunschweig, Germany"",""person_key"":""carl-otto-weiss"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Robert Lechner-Schobel, Business Consultant, Germany"",""person_key"":""robert-lechner-schobel"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Dennis Small, Director of the Latin American Desk of EIR, USA"",""person_key"":""dennis-small"",""affiliation"":"""",""country"":"""",""talk_title"":""""}]",,none,1,1,"ordered agenda without valid times (fewer than 2 marks)",,
EyhLk_2i82I,0,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,5,full_session,,,"Prof. Dmitri Trenin “Unlike in 1962...the new nuclear crisis will not happen over there”",,,,"Prof. Dmitri Trenin “Unlike in 1962...the new nuclear crisis will not happen over there”",0,"[{""speaker_raw"":""Prof. Dmitri Trenin, Academic Supervisor of the Institute of World Military Economy and Strategy at the Higher School of Economics University (HSE), Russia, in his speech titled \""A New Global Security System\"" to the Schiller Institute Conference in Berlin July 12, laid out a grim picture to the attendees. He warned that the stream of events has led to the imminent threat of nuclear war, unless in the final hour we can organize \""a joint effort to achieve an agreement that will stick.\"""",""person_key"":""dmitri-trenin"",""affiliation"":"""",""country"":"""",""talk_title"":""A New Global Security System""}]",,none,1,1,"ordered agenda without valid times (fewer than 2 marks)",,
LpElI9n-GZk,0,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,5,full_session,,,"Dr. Naledi Pandor — ""Bringing the voice of freedom, justice, peace, and security to Berlin""",,,,"Dr. Naledi Pandor — ""Bringing the voice of freedom, justice, peace, and security to Berlin""",0,"[{""speaker_raw"":""Dr. Naledi Pandor, former Minister of International Relations and Cooperation of South Africa, speaking at the Schiller Institute Conference this past Saturday, put on the table an incredible responsibility for us all, with an important call to action honoring the late Nelson Mandela's birthday July 18, the importance of the Schiller Institute and the International Peace Coalition intervention into the world stage."",""person_key"":""naledi-pandor"",""affiliation"":"""",""country"":"""",""talk_title"":""""}]",,none,1,1,"ordered agenda without valid times (fewer than 2 marks)",,
DLZcMkedZ50,0,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,4,full_session,,,"The Beauty of the Diversity of Cultures & Role of Young People in Shaping the Earth’s Next 50 Years",,,,"The Beauty of the Diversity of Cultures & Role of Young People in Shaping the Earth’s Next 50 Years",0,,,none,0,1,"no marks, no agenda",,
93OEDJweiX4,0,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,4,full_session,,,"The Scientific Challenges in the New Paradigm",,,,"The Scientific Challenges in the New Paradigm",0,,,none,0,1,"no marks, no agenda",,
kwFJdmWeCEo,0,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,4,full_session,,,"Cooperation between the BRICS and Europe to Implement the Oasis Plan and the Agenda 2063 for Africa",,,,"Cooperation between the BRICS and Europe to Implement the Oasis Plan and the Agenda 2063 for Africa",0,,,none,0,1,"no marks, no agenda",,
3XDdpfbdLrg,0,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,4,full_session,,,"Strategic Challenges and the Emerging New Order from an International Perspective",,,,"Strategic Challenges and the Emerging New Order from an International Perspective",0,,,none,0,1,"no marks, no agenda",,
BWIof_dJIXU,0,PLoHwt4KyUk5AQSojSSwzrmY0iiKsy-9SU,2025-berlin-wolf-paradigm-relations,,3,talk,,,"Concert: A Dialogue of Classical Cultures",concert,,,"A Dialogue of Classical Cultures",0,,,per-talk-video,0,1,"single speaker, whole video",,
mshJMsRmYAU,0,PLoHwt4KyUk5CoOZjiQx8ZzJUx9crewBuB,2025-2025-memorial-weekend-beautiful,,5,full_session,,,"Human Advancement Is Being Negatively Affected by a ""Very Difficult, Toxic Geopolitical Environment""",,,,"Human Advancement Is Being Negatively Affected by a ""Very Difficult, Toxic Geopolitical Environment""",0,"[{""speaker_raw"":""H.E. Naledi Pandor, former Minister of International Relations and Cooperation for the nation of South Africa, warned that we are in a \""very difficult, toxic geopolitical environment,\"" where the past advances in civilization and the rights of humanity are under threat. She warned of the danger of a serious reversal of the gains of women's equality, and the threat of a renewed arms race. The idea that \""might is right, and might is all that matters,\"" has become dangerously dominant in the U.S. In particular, she said, \""it is tragic that we have allowed over 18 months of the slaughter of Palestine.\"" She endorsed the Schiller Institute's Oasis Plan and other initiatives that are intended to create a \""caring, rational global leadership,\"" initiatives that represent \""an adult in the room.\"" She called for the BRICS to emerge as a group of world leaders who represent this outlook."",""person_key"":""naledi-pandor"",""affiliation"":"""",""country"":"""",""talk_title"":""very difficult, toxic geopolitical environment,""}]",,none,1,1,"ordered agenda without valid times (fewer than 2 marks)",,
_KkdyElrfpI,0,PLoHwt4KyUk5CoOZjiQx8ZzJUx9crewBuB,2025-2025-memorial-weekend-beautiful,,4,full_session,,,"There Is No Problem Human Creativity Can't Solve!",,,,"There Is No Problem Human Creativity Can't Solve!",0,,,none,0,1,"no marks, no agenda",,
cRBXdmrBWsY,0,PLoHwt4KyUk5CoOZjiQx8ZzJUx9crewBuB,2025-2025-memorial-weekend-beautiful,,5,full_session,,,"Shaping the Earth’s Next 50 Years",,,,"Shaping the Earth’s Next 50 Years",0,"[{""speaker_raw"":""Moderator: Daniel Burke (U.S.), The Schiller Institute"",""person_key"":""moderator-daniel-burke"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Jason Ross (U.S.), Science Advisor to the Schiller Institute"",""person_key"":""jason-ross"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Mike Campbell (U.S.)"",""person_key"":""mike-campbell"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Adrian Pearl (U.S.)"",""person_key"":""adrian-pearl"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Robert Castle (U.S.)"",""person_key"":""robert-castle"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Carolina Domínguez (Mexico), Schiller Institute"",""person_key"":""carolina-dominguez"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Kynan Thistlethwaite (U.S.)"",""person_key"":""kynan-thistlethwaite"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Anastasia Battle (U.S.)"",""person_key"":""anastasia-battle"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Ashley Tran (US)"",""person_key"":""ashley-tran"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Jose Vega (U.S.), LaRouche Youth Movement Leader, Independent Congressional Candidate, Bronx, New York"",""person_key"":""jose-vega"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Megan Dobrodt (U.S.), President, Schiller Institute"",""person_key"":""megan-dobrodt"",""affiliation"":"""",""country"":"""",""talk_title"":""""}]",,none,1,1,"ordered agenda without valid times (fewer than 2 marks)",,
8Of4R6uMjU8,0,PLoHwt4KyUk5CoOZjiQx8ZzJUx9crewBuB,2025-2025-memorial-weekend-beautiful,,5,full_session,,,"The LaRouche Legacy Foundation on the Actuality of LaRouche’s Ideas — Panel 4",,,,"The LaRouche Legacy Foundation on the Actuality of LaRouche’s Ideas — Panel 4",0,"[{""speaker_raw"":""Moderator: Dennis Small (U.S.), LaRouche Legacy Foundation"",""person_key"":""moderator-dennis-small"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Diane Sare (U.S.), President, The LaRouche Organization, former Independent Candidate for the U.S. Senate in New York"",""person_key"":""diane-sare"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Lyndon LaRouche, video excerpts"",""person_key"":""lyndon-larouche"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Helga Zepp-LaRouche (Germany), Founder, The Schiller Institute"",""person_key"":""helga-zepp-larouche"",""affiliation"":"""",""country"":"""",""talk_title"":""""}]",,none,1,1,"ordered agenda without valid times (fewer than 2 marks)",,
gUk_uBdziJI,0,PLoHwt4KyUk5CoOZjiQx8ZzJUx9crewBuB,2025-2025-memorial-weekend-beautiful,,5,full_session,,,"The Beauty of the Diversity of Cultures — Panel 2",,,,"The Beauty of the Diversity of Cultures — Panel 2",0,"[{""speaker_raw"":""Moderator: Jen Pearl (U.S.), The Schiller Institute"",""person_key"":""moderator-jen-pearl"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Megan Dobrodt (U.S.) President, Schiller Institute U.S.A."",""person_key"":""megan-dobrodt-president"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Elvira Green (U.S.) Mezzosoprano, formerly with the New York Metropolitan Opera"",""person_key"":""elvira-green-mezzosoprano"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Helga Zepp-LaRouche (Germany), Founder, The Schiller Institute"",""person_key"":""helga-zepp-larouche"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Feride Istogu Soprano, Schiller Institute and Founder of Lola Gjoka Project, \""Little Halit\"" and \""Sara\"" (Albanian folk songs arranged by Lola Aleksi Gjoka), Martin Kaptein, piano"",""person_key"":""feride-istogu-soprano"",""affiliation"":"""",""country"":"""",""talk_title"":""Little Halit""},{""speaker_raw"":""Ruijia Dong (China) mezzo-soprano; Louis Arques, clarinet; Dura Jun, piano. Wolfgang Amadeus Mozart, \""Parto, ma tu ben mio,\"" (I go, but you, my treasure\"" aria from {La Clemenza di Tito} ({Titus's Clemency})."",""person_key"":""ruijia-dong-mezzo-soprano-louis-arques"",""affiliation"":"""",""country"":"""",""talk_title"":""Parto, ma tu ben mio,""},{""speaker_raw"":""Yulin Wang (China) tenor, Dura Jun, piano. Confucius: \""在水一方\"" (\""By the Waterside\"") On the Other Side of the River\"" – \""O wie ängstlich, o wie feurig,\"" (Oh how fearfully oh with what fire\"") Belmonte's aria from Mozart's {Die Entführung aus dem Serail} ({Abduction from the Seraglio})"",""person_key"":""yulin-wang-tenor"",""affiliation"":"""",""country"":"""",""talk_title"":""在水一方""},{""speaker_raw"":""Everett Suttle (U.S.), Internationally known Opera and Concert Tenor, Dura Jun, piano: Jayme Rujas de Aragón y Ovalle: \""Vai, azulão\"" (\""Fly Away, Bluebird\""), Op. 21.;"",""person_key"":""everett-suttle"",""affiliation"":"""",""country"":"""",""talk_title"":""Vai, azulão""},{""speaker_raw"":""Everett Suttle, tenor; Dura Jun, piano: Sergei Rachmaninoff (Aleksander Pushkin): \""Не пой, красавица\"" (\""Don't Sing, My Pretty One\""), Op. 4, No. 4."",""person_key"":""everett-suttle"",""affiliation"":"""",""country"":"""",""talk_title"":""Не пой, красавица""},{""speaker_raw"":""Michelle Erin, soprano; Everett Suttle, tenor; Dura Jun, piano: Johannes Brahms: \""Schwesterlein\"" (\""Sister\""), WoO 33, Vol. 3, No. 15."",""person_key"":""michelle-erin"",""affiliation"":"""",""country"":"""",""talk_title"":""Schwesterlein""},{""speaker_raw"":""Wolfgang Amadeus Mozart, motet Ave Verum corpus (Hail, true body) presentation by John Sigerson (Music Director, Schiller Institute)"",""person_key"":""wolfgang-amadeus-mozart"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Ave Verum Corpus by Mozart"",""person_key"":""ave-verum-corpus-by-mozart"",""affiliation"":"""",""country"":"""",""talk_title"":""""}]",,none,1,1,"ordered agenda without valid times (fewer than 2 marks)",,
Wkc97KwskC0,0,PLoHwt4KyUk5CoOZjiQx8ZzJUx9crewBuB,2025-2025-memorial-weekend-beautiful,,5,full_session,,,"Strategic Challenges and the Emerging New Order — Panel 1",,,,"Strategic Challenges and the Emerging New Order — Panel 1",0,"[{""speaker_raw"":""Moderator: Dennis Speed (U.S.), The Schiller Institute"",""person_key"":""moderator-dennis-speed"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Helga Zepp-LaRouche (Germany), Founder, The Schiller Institute"",""person_key"":""helga-zepp-larouche"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""H.E. Naledi Pandor (South Africa), former Minister of International Relations and Cooperation, South Africa"",""person_key"":""naledi-pandor"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Prof. Dmitri Trenin (Russia), Academic Supervisor of the Institute of World Military Economy and Strategy at the Higher School of Economics University (HSE) (Moscow)"",""person_key"":""dmitri-trenin"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Prof. Zhang Weiwei, Professor of International Relations at Fudan University, China,"",""person_key"":""zhang-weiwei"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""H.E. Donald Ramotar (Guyana), Former President of Guyana"",""person_key"":""donald-ramotar"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Ambassador Chas Freeman (U.S.), former U.S. Assistant Secretary of Defense for International Security Affairs, 1993-1994"",""person_key"":""chas-freeman"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Ray McGovern (U.S.), former Senior Analyst, U.S. Central Intelligence Agency (CIA); Founding Member, Veteran Intelligence Professionals for Sanity (VIPS)"",""person_key"":""ray-mcgovern"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Scott Ritter (U.S.), former USMC Intel. and former UN Weapons Inspector)"",""person_key"":""scott-ritter"",""affiliation"":"""",""country"":"""",""talk_title"":""""}]",,none,1,1,"ordered agenda without valid times (fewer than 2 marks)",,
FuS2MyfbC7Q,0,PLoHwt4KyUk5BuFCwNp09wFxSsuN1HZbrp,2024-spirit-beethoven-become-brethren,,5,full_session,,,"How Should the Global South Respond?—H.E. Naledi Pandor with Helga Zepp-LaRouche & Jacques Cheminade",,,,"How Should the Global South Respond?—H.E. Naledi Pandor with Helga Zepp-LaRouche & Jacques Cheminade",0,"[{""speaker_raw"":""H.E. Naledi Pandor (South Africa), former Minister of International Relations and Cooperation, South Africa, addresses the Dec. 7-8 Schiller Institute conference, \""In the Spirit of Schiller and Beethoven: All Men Become Brethren!\"""",""person_key"":""naledi-pandor"",""affiliation"":"""",""country"":"""",""talk_title"":""In the Spirit of Schiller and Beethoven: All Men Become Brethren!""},{""speaker_raw"":""H.E. Naledi Pandor (South Africa), former Minister of International Relations and Cooperation, South Africa; \""How Should the South Respond?\"""",""person_key"":""naledi-pandor"",""affiliation"":"""",""country"":"""",""talk_title"":""How Should the South Respond?""},{""speaker_raw"":""Theodore Postol (U.S.), Professor Emeritus of Science, Technology and National Security at the Massachusetts Institute of Technology"",""person_key"":""theodore-postol"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Michele Geraci (Italy), Former Under Secretary of State, Ministry of Economic Development"",""person_key"":""michele-geraci"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Sergey Pulinets (Russia), Principal Research Scientist, Space Research Institute, Russian Academy of Sciences, Moscow"",""person_key"":""sergey-pulinets"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Jürgen Schöttle (Germany), Master in Engineering, Power Plant Construction"",""person_key"":""jurgen-schottle"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Brian Harvey (Ireland), Space Historian"",""person_key"":""brian-harvey"",""affiliation"":"""",""country"":"""",""talk_title"":""""}]",,none,1,1,"ordered agenda without valid times (fewer than 2 marks)",,
i0QnKEVUHlw,0,PLoHwt4KyUk5BuFCwNp09wFxSsuN1HZbrp,2024-spirit-beethoven-become-brethren,,5,full_session,,,"A U.S./Russia Nuclear Conflict Is Not Just a Possibility, but Increasingly Becoming a Probability",,,,"A U.S./Russia Nuclear Conflict Is Not Just a Possibility, but Increasingly Becoming a Probability",0,"[{""speaker_raw"":""Dmitri Trenin (Russia), Professor, Academic Supervisor of the Institute of World Military Economy and Strategy at the Higher School of Economics University (Moscow)"",""person_key"":""dmitri-trenin"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""H.E. Donald Ramotar (Guyana), former President of Guyana"",""person_key"":""donald-ramotar"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""H.E. Ján Čarnogurský (Slovakia), former Prime Minister of Slovakia"",""person_key"":""jan-carnogursky"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Prof. Zhang Weiwei (China), Professor of International Relations, Fudan University, China"",""person_key"":""zhang-weiwei"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Ambassador Chas W. Freeman, Jr. (U.S.), former U.S. Assistant Secretary of Defense for International Security Affairs, 1993-1994"",""person_key"":""chas-w-freeman"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Scott Ritter (U.S.), former UN Weapons Inspector in Iraq"",""person_key"":""scott-ritter"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Col. (ret.) Larry Wilkerson, (U.S.) former chief of staff to the US Secretary of State"",""person_key"":""larry-wilkerson"",""affiliation"":"""",""country"":"""",""talk_title"":""""},{""speaker_raw"":""Amb. Hossein Mousavian (Iran), former ambassador from Iran to Germany"",""person_key"":""hossein-mousavian"",""affiliation"":"""",""country"":"""",""talk_title"":""""}]",,none,1,1,"ordered agenda without valid times (fewer than 2 marks)",,
