conference_key,yt_playlist_id,portfolio_terms,title,start_date,end_date,location,wp_match_type,wp_match_id,wp_match_url,action,duplicate_lang_playlists,needs_review,notes,final_action,reviewer
2022-inspiring-humanity-survive-greatest,PLoHwt4KyUk5DPZ02tyaNkMYYrfNE1VphU,,"Inspiring Humanity to Survive the Greatest Crisis in World History — September 10-11, 2022",2022-01-01,,,post,91162,,create,,1,match score 7: Conference: Inspiring Humanity to Survive the Greatest Crisis in World; dates are proposals — fix start/end,,
2022-there-peace-without-bankruptcy,PLoHwt4KyUk5DkW-buoxyXM6laxEB0lICI,,There Can Be No Peace Without the Bankruptcy Reorganization of the Dying Trans-Atlantic Financial System,2022-01-01,,,post,88412,,create,,1,match score 10: Conference: There Can Be No Peace Without the Bankruptcy Reorganizatio; dates are proposals — fix start/end,,
2022-april-2022-establish-security,PLoHwt4KyUk5ATvAWizEGiwjFxfmuPUOB1,frankfurt-april-2013|frankfurt-april-2013-fr,"April 9, 2022 Conference — For a Conference to Establish a New Security and Development Architecture for All Nations",2022-01-01,,,post,85224,,create,,1,match score 5: PETITION: Convoke an International Conference to Establish A New Secur; dates are proposals — fix start/end,,
2021-mankind-immortal-species,PLoHwt4KyUk5AOO0AlzyiRtLNaJrWIvQjw,,Nov 13-14 Conference — Mankind Must Be the Immortal Species,2021-01-01,,,post,81913,,create,,1,match score 3: Conference: All Moral Resources of Humanity Have To Be Called Up: Mank; dates are proposals — fix start/end,,
2021-june,PLoHwt4KyUk5AM0515zChBYV0dUgTKbyZQ,berlin-june-2016-de|berlin-june-2016-en|berlin-june-2016-fr|berlin-june-2016-en-de|berlin-june-2016-en-fr|berlin-june-2016-de-fr,June 26-27 Schiller Institute conference,2021-01-01,,,post,60199,,create,,1,"match score 1: June 27 Conference: Will Humanity Prosper, or Perish? The Future Deman; dates are proposals — fix start/end",,
2020-september-2020-youth-world,PLoHwt4KyUk5Bs6Bvy1BfO4fDVTqdcccI2,helga-zepp-larouche|helga-zepp-larouche-de|helga-zepp-larouche-ru|helga-zepp-larouche-artikel,"September 26, 2020 Youth Conference —The World Has a Choice: Extinction, or Era of LaRouche",2020-01-01,,,post,62768,,create,,1,"match score 5: Youth Conference —The World Has a Choice: Extinction, or Era of LaRouc; dates are proposals — fix start/end",,
2020-december-2020-world-after,PLoHwt4KyUk5AGynJ1XR-cp5ZMydgLtyZX,,"December 12, 2020 Conference: The World after the U.S. Election Creating A World Based on Reason",2020-01-01,,,post,65126,,create,,1,match score 9: Conference: The World after the U.S. Election Creating A World Based o; dates are proposals — fix start/end,,
2021-march-world-crossroad-months,PLoHwt4KyUk5C3NYhozFTLmO4xjBhbr8SU,,March 20-21 Conference: WORLD AT A CROSSROAD: Two Months into the New Administration,2021-01-01,,,post,60668,,create,,1,match score 1: Schiller Institute Representative Participates in Major China-Arab Wor; dates are proposals — fix start/end,,
2020-june-2020-humanity-prosper,PLoHwt4KyUk5DWhMYHEidLO0zeIhq4uzfw,berlin-june-2016-de|berlin-june-2016-en|berlin-june-2016-fr|berlin-june-2016-en-de|berlin-june-2016-en-fr|berlin-june-2016-de-fr,"June 27, 2020 Conference: Will Humanity Prosper, or Perish?",2020-01-01,,,post,60199,,create,,1,"match score 4: June 27 Conference: Will Humanity Prosper, or Perish? The Future Deman; dates are proposals — fix start/end",,
2020-april-2020,PLoHwt4KyUk5BLyjo-lYI1akY_m95R12QD,frankfurt-april-2013|frankfurt-april-2013-fr,"April 25-26, 2020 Schiller Institute Online Conference",2020-01-01,,,post,63165,,create,,1,match score 1: Conference: China and the West Face to Face: Rivalry or Cooperation --; dates are proposals — fix start/end,,
2019-november-2019-soden,PLoHwt4KyUk5DwvYfiV1GzQRoWSdQcxcg8,bad-soden-november-2017-de|bad-soden-november-2017-en,"November 16-17, 2019 Bad Soden Conference",2019-01-01,,,post,46936,,create,,1,match score 1: Schiller Institute Conference in Bad Soden: Panel 1; dates are proposals — fix start/end,,
2019-presidents-national-2019,PLoHwt4KyUk5BkTXvZW6BQzXUop4HiJyrA,,"Presidents' Day National Conference, Feb. 16. 2019",2019-01-01,,,post,62334,,create,,1,match score 1: Internationale Pressemitteilung: Schiller-Institut hält bahnbrechende ; dates are proposals — fix start/end,,
2018-paris-november-2018,PLoHwt4KyUk5B2iUesv6EBeBrj6aDYdtbN,paris-2015|paris-2015-de|paris-2015-zh-hans|paris-conference-2015-en|paris-2015-2|paris-konferenz-2015-de|paris-conference-2015-en-de|paris-conference-2015-en-fr|paris-konferenz-2015-de-2|paris-24-octobre-2017-fr|bad-soden-november-2017-de|bad-soden-november-2017-en,"Paris conference - November 6, 2018",2018-01-01,,,page,47150,,create,,1,match score 1: Schiller-Institut Konferenz Bad Soden • 30. Juni - 1. Juli 2018; dates are proposals — fix start/end,,
2018-sept-2018,PLoHwt4KyUk5AqCLdZY4emKBztbJdUfZvj,,"NYC Sept. 13, 2018 conference",2018-01-01,,,page,48579,,create,,1,"match score 2: New York City Conference · September 13, 2018; dates are proposals — fix start/end",,
2018-june-july-conf-soden,PLoHwt4KyUk5AJ48ftO4TDRM1GLZ4YmAIe,berlin-june-2016-de|berlin-june-2016-en|berlin-june-2016-fr|berlin-june-2016-en-de|berlin-june-2016-en-fr|berlin-june-2016-de-fr|bad-soden-november-2017-de|bad-soden-november-2017-en,"June 30-July 1: Schiller Institute Conf, Bad Soden, Germany",2018-01-01,,,page,47153,,create,,1,"match score 4: Schiller Institute Conference • Bad Soden • June 30 - July 1, 2018; dates are proposals — fix start/end",,
2018-april-manhattan-dialogue-three,PLoHwt4KyUk5Azhj6f0_f7M1o3W2o-et59,musical-dialogue|musical-dialogue-de|musical-dialogue-es|musical-dialogue-fr|musical-dialogue-ru|frankfurt-april-2013|frankfurt-april-2013-fr,April 7 Manhattan Conference: A Dialogue of Three Presidencies,2018-01-01,,,none,,,create_only,,1,no WP match; dates are proposals — fix start/end,,
2017-francais-soden,PLoHwt4KyUk5CcKXHAV1puDAzLISptrBMg,bad-soden-november-2017-de|bad-soden-november-2017-en,[FRANCAIS] Bad Soden Conference,2017-01-01,,,post,46936,,create,,1,match score 1: Schiller Institute Conference in Bad Soden: Panel 1; dates are proposals — fix start/end,,
2017-soden-fulfilling-dream-mankind,PLoHwt4KyUk5Diy9gwbA5IL5J4q6SRtEhC,2017|paris-24-octobre-2017-fr|bad-soden-november-2017-de|bad-soden-november-2017-en,"Bad Soden Conference • Fulfilling the Dream of Mankind - November 25-26, 2017",2017-01-01,,,post,34087,,create,,1,match score 1: Manhattan Conference: Building A World Land-Bridge—Realizing Mankind's; dates are proposals — fix start/end,,
2017-paris-octobre-2017,PLoHwt4KyUk5Bo6n8EQg2RwP0vBHfLJnS-,francfort-octobre-2014-fr|francfort-octobre-2014-fr-de|francfort-octobre-2014-fr-en|paris-2015|paris-2015-de|paris-2015-zh-hans|paris-conference-2015-en|paris-2015-2|paris-konferenz-2015-de|paris-conference-2015-en-de|paris-conference-2015-en-fr|paris-konferenz-2015-de-2|2017|paris-24-octobre-2017-fr|bad-soden-november-2017-de|bad-soden-november-2017-en,Conférence de Paris - 24 octobre 2017,2017-01-01,,,post,47338,,create,,1,match score 1: Helga Zepp-LaRouche Addresses Institut Mandela Conference in Paris; dates are proposals — fix start/end,,
2017-symposium-aesthetic-education-humanity,PLoHwt4KyUk5Ai3BFCvdyEX__n7Ir0qrQF,music-nyc20130126|music-sf2013|music-30th-anniversary-new-york-2014,Symposium - The Aesthetic Education of Humanity Through Music - Concluding Event of Two Day Tribute to Sylvia Olden Lee,2017-01-01,,,post,34087,,create,,1,match score 1: Manhattan Conference: Building A World Land-Bridge—Realizing Mankind's; dates are proposals — fix start/end,,
2017-york-april-2017-china,PLoHwt4KyUk5CfL_UCuxSmmr0hyQNZlZjL,frankfurt-april-2013|frankfurt-april-2013-fr|30th-anniversary-new-york-2014|music-30th-anniversary-new-york-2014|frankfurt-silk-road-china-lunar-conference-2014|frankfurt-silk-road-china-lunar-conference-2014-de|frankfurt-silk-road-china-lunar-conference-2014-fr|2017|paris-24-octobre-2017-fr|bad-soden-november-2017-de|bad-soden-november-2017-en,"New York Conference • April 13-14, 2017: ""US-China Cooperation on the Belt and Road Initiative""",2017-01-01,,,page,40985,,create,,1,"match score 6: Schiller Institute Conference in New York: ""U.S.-China Cooperation on ; dates are proposals — fix start/end",,
2017-april-2017-silk-road,PLoHwt4KyUk5BwAqPwhIq7fOManzE1tOlx,frankfurt-april-2013|frankfurt-april-2013-fr|frankfurt-silk-road-china-lunar-conference-2014|frankfurt-silk-road-china-lunar-conference-2014-de|frankfurt-silk-road-china-lunar-conference-2014-fr|2017|paris-24-octobre-2017-fr|bad-soden-november-2017-de|bad-soden-november-2017-en,"April 7, 2017 – The New Silk Road: A Global Engineering Renaissance",2017-01-01,,,post,34087,,create,,1,match score 1: Manhattan Conference: Building A World Land-Bridge—Realizing Mankind's; dates are proposals — fix start/end,,
2016-lyon,PLoHwt4KyUk5B9vdWLhwX2Xhvz6EzpdUti,,Lyon conference,2016-01-01,,,post,37397,,create,,1,match score 1: Erfolgreiche Konferenz des Schiller-Instituts in Lyon und Essen: Europ; dates are proposals — fix start/end,,
2016-york-september-2016-memorial,PLoHwt4KyUk5AvXR3_tS4UPU23Or57yXQ5,30th-anniversary-new-york-2014|music-30th-anniversary-new-york-2014|berlin-june-2016-de|berlin-june-2016-en|berlin-june-2016-fr|berlin-june-2016-en-de|berlin-june-2016-en-fr|berlin-june-2016-de-fr|2016,"New York Conference • September 10, 2016 - ""9/11 Memorial Conference""",2016-01-01,,,post,34132,,create,,1,match score 1: Landbrücken-Konferenz des Schiller-Instituts in New York; dates are proposals — fix start/end,,
2016-building-world-land-bridge,PLoHwt4KyUk5C3-7hLu5IC0PZq3-ec2Kka,frankfurt-april-2013|frankfurt-april-2013-fr|30th-anniversary-new-york-2014|music-30th-anniversary-new-york-2014|berlin-june-2016-de|berlin-june-2016-en|berlin-june-2016-fr|berlin-june-2016-en-de|berlin-june-2016-en-fr|berlin-june-2016-de-fr|2016,"Building a World Land-Bridge: Realizing Mankind's True Humanity - New York, April 2016",2016-01-01,,,post,34087,,create,,1,match score 9: Manhattan Conference: Building A World Land-Bridge—Realizing Mankind's; dates are proposals — fix start/end,,
2016-musical-dialogue-cultures-berlin,PLoHwt4KyUk5B54ewD08Z4ZUH-D3WkPgBq,musical-dialogue|musical-dialogue-de|musical-dialogue-es|musical-dialogue-fr|musical-dialogue-ru|berlin-june-2016-de|berlin-june-2016-en|berlin-june-2016-fr|berlin-june-2016-en-de|berlin-june-2016-en-fr|berlin-june-2016-de-fr|2016,A Musical Dialogue of Cultures - Berlin 2016,2016-01-01,,,page,34203,,create,,1,match score 2: Conference Berlin 2016 June 25-26; dates are proposals — fix start/end,,
2016-internationale-berlin-juin-2016,PLoHwt4KyUk5BoCPR6750Eh-_mxhkzQVrF,berlin-june-2016-de|berlin-june-2016-en|berlin-june-2016-fr|berlin-june-2016-en-de|berlin-june-2016-en-fr|berlin-june-2016-de-fr|2016,Conférence internationale Berlin — 25 et 26 juin 2016,2016-01-01,,,page,34203,,create,,1,match score 2: Conference Berlin 2016 June 25-26; dates are proposals — fix start/end,,
2016-internationale-konferenz-berlin-juni,PLoHwt4KyUk5Bh6p1wNnnKM0gRYw_8cSRR,san-francisco-juni-2013|paris-konferenz-2015-de|paris-konferenz-2015-de-2|berlin-june-2016-de|berlin-june-2016-en|berlin-june-2016-fr|berlin-june-2016-en-de|berlin-june-2016-en-fr|berlin-june-2016-de-fr|2016,Internationale Konferenz in Berlin – 25-26. Juni 2016,2016-01-01,,,page,25933,,create,,1,match score 2: Berlin Konferenz; dates are proposals — fix start/end,,
2016-berlin-june-2016-creating,PLoHwt4KyUk5DQMi_zX-35YR5AcB5P4-dX,classical-concert|classical-concert-es|classical-concert-fr|classical-concert-ru|berlin-june-2016-de|berlin-june-2016-en|berlin-june-2016-fr|berlin-june-2016-en-de|berlin-june-2016-en-fr|berlin-june-2016-de-fr|2016,"Berlin Conference • June 25-26, 2016 - ""Creating A Common Future For Mankind And A Renaissance Of Classical Culture""",2016-01-01,,,page,34203,,create,,1,match score 3: Conference Berlin 2016 June 25-26; dates are proposals — fix start/end,,
2016-francisco-june-2016-strategic,PLoHwt4KyUk5Cf8zmKh6qanOqoFeXDf0T1,san-francisco-2013|san-francisco-juni-2013|frankfurt-silk-road-china-lunar-conference-2014|frankfurt-silk-road-china-lunar-conference-2014-de|frankfurt-silk-road-china-lunar-conference-2014-fr|berlin-june-2016-de|berlin-june-2016-en|berlin-june-2016-fr|berlin-june-2016-en-de|berlin-june-2016-en-fr|berlin-june-2016-de-fr|2016,"San Francisco Conference • June 8, 2016 - ""Schiller Institute Strategic Seminar: Will the U.S. Join the New Silk Road?",2016-01-01,,,page,34203,,create,,1,match score 2: Conference Berlin 2016 June 25-26; dates are proposals — fix start/end,,
2015-paris-juin-2015,PLoHwt4KyUk5AlUKhGlU7z1dqj9XBCPtHa,paris-2015|paris-2015-de|paris-2015-zh-hans|paris-conference-2015-en|paris-2015-2|paris-konferenz-2015-de|paris-conference-2015-en-de|paris-conference-2015-en-fr|paris-konferenz-2015-de-2|2015|paris-24-octobre-2017-fr,Conférence de Paris - 13 et 14 juin 2015,2015-01-01,,,page,29572,,create,,1,"match score 2: Schiller Institute Conference  •  Paris  •  June 13th, 14th 2015; dates are proposals — fix start/end",,
2015-neue-seidenstra-beginn-einer,PLoHwt4KyUk5D5QI_eADJoeof22QCELv7e,paris-2015|paris-2015-de|paris-2015-zh-hans|paris-conference-2015-en|paris-2015-2|paris-konferenz-2015-de|paris-conference-2015-en-de|paris-conference-2015-en-fr|paris-konferenz-2015-de-2|2015|berlin-june-2016-de|berlin-june-2016-en|berlin-june-2016-fr|berlin-june-2016-en-de|berlin-june-2016-en-fr|berlin-june-2016-de-fr,"""Die Neue Seidenstraße - Beginn einer weltweiten Renaissance"" -- Konferenz in Berlin am 28. März 2015",2015-01-01,,,post,19579,,create,,1,match score 3: Seidenstraßenkonferenz in Beijing: Helga Zepp-LaRouche spricht über Pr; dates are proposals — fix start/end,,
2014-england-december-2014,PLoHwt4KyUk5DnGSoabI7MQJKrqjbe2nce,30th-anniversary-new-york-2014|music-30th-anniversary-new-york-2014|2014|frankfurt-silk-road-china-lunar-conference-2014|frankfurt-silk-road-china-lunar-conference-2014-de|frankfurt-silk-road-china-lunar-conference-2014-fr|frankfurt-october-2014|francfort-octobre-2014-fr|frankfurt-2014-ru-october|francfort-octobre-2014-fr-de|francfort-octobre-2014-fr-en|new-england-conference-dec-7-2014,"New England Conference - December 7th, 2014",2014-01-01,,,page,23630,,create,,1,"match score 2: New England Conference - Dec. 7th, 2014 - The U.S. Must Join the BRICS; dates are proposals — fix start/end",,
2014-frankfurt-october-2014-30th,PLoHwt4KyUk5BFurDWz5mCHy8kU83q-dyN,frankfurt-april-2013|frankfurt-april-2013-fr|frankfurt|30th-anniversary-new-york-2014|music-30th-anniversary-new-york-2014|2014|frankfurt-silk-road-china-lunar-conference-2014|frankfurt-silk-road-china-lunar-conference-2014-de|frankfurt-silk-road-china-lunar-conference-2014-fr|frankfurt-october-2014|francfort-octobre-2014-fr|frankfurt-2014-ru-october|francfort-octobre-2014-fr-de|francfort-octobre-2014-fr-en|new-england-conference-dec-7-2014,"Frankfurt  Conference • October 18, 2014 - ""30th Anniversary of Schiller Institute — The New Silk Road and China's Lunar Program""",2014-01-01,,,page,19952,,create,,1,"match score 5: 30th Anniversary Conference  •  Frankfurt  •  October 18th, 2014; dates are proposals — fix start/end",,
2013-angeles-november-2013-second,PLoHwt4KyUk5DHRySGYxUgYPDBeSf4zhd0,nyc20130126|music-nyc20130126|2013|2013-de|2013-es|2013-fr|2013-ru|ny20130126|vormittag-ny20130126|sterling-sdi2013|sterling-sdi2013-de|concert-sdi2013|concert-sdi2013-de|frankfurt-april-2013|frankfurt-april-2013-fr|sterling-conferencia-ee-uu-marzo-2013|%d1%84%d1%80%d0%b0%d0%bd%d0%ba%d1%84%d1%83%d1%80%d1%82-%d0%b0%d0%bf%d1%80%d0%b5%d0%bb%d1%8f-2013-%d0%b3|francfort-abril-de-2013|francfort-avril2013|francfort-avril2013-panel1|san-francisco-2013|san-francisco-juni-2013|music-sf2013|los-angeles|bad-soden-november-2017-de|bad-soden-november-2017-en,"Los Angeles Conference • November 2, 2013 - ""The Second American Revolution — Developing the Pacific and Ending the Grip of Empire""",2013-01-01,,,page,3826,,create,,1,"match score 3: Los Angeles Conference • November 2nd, 2013; dates are proposals — fix start/end",,
2013-frankfurt-april-2013-attaining,PLoHwt4KyUk5BNBJ_NtTruKKOFuDWjMgRl,nyc20130126|music-nyc20130126|2013|2013-de|2013-es|2013-fr|2013-ru|ny20130126|vormittag-ny20130126|sterling-sdi2013|sterling-sdi2013-de|concert-sdi2013|concert-sdi2013-de|frankfurt-april-2013|frankfurt-april-2013-fr|sterling-conferencia-ee-uu-marzo-2013|frankfurt|%d1%84%d1%80%d0%b0%d0%bd%d0%ba%d1%84%d1%83%d1%80%d1%82-%d0%b0%d0%bf%d1%80%d0%b5%d0%bb%d1%8f-2013-%d0%b3|francfort-abril-de-2013|francfort-avril2013|francfort-avril2013-panel1|san-francisco-2013|san-francisco-juni-2013|music-sf2013|frankfurt-silk-road-china-lunar-conference-2014|frankfurt-silk-road-china-lunar-conference-2014-de|frankfurt-silk-road-china-lunar-conference-2014-fr|frankfurt-october-2014|frankfurt-2014-ru-october,"Frankfurt Conference • April 13-14, 2013 - ""Attaining Freedom through Necessity — The Last Chance for Humanity""",2013-01-01,,,page,2814,,create,,1,"match score 3: Frankfurt Conference • April 13 - 14, 2013; dates are proposals — fix start/end",,
2013-virginia-march-2013-30th,PLoHwt4KyUk5AEE8jRv1D5RymHH7pe1NLz,nyc20130126|music-nyc20130126|2013|2013-de|2013-es|2013-fr|2013-ru|ny20130126|vormittag-ny20130126|sterling-sdi2013|sterling-sdi2013-de|concert-sdi2013|concert-sdi2013-de|frankfurt-april-2013|frankfurt-april-2013-fr|sterling-conferencia-ee-uu-marzo-2013|%d1%84%d1%80%d0%b0%d0%bd%d0%ba%d1%84%d1%83%d1%80%d1%82-%d0%b0%d0%bf%d1%80%d0%b5%d0%bb%d1%8f-2013-%d0%b3|francfort-abril-de-2013|francfort-avril2013|francfort-avril2013-panel1|san-francisco-2013|san-francisco-juni-2013|music-sf2013|30th-anniversary-new-york-2014|music-30th-anniversary-new-york-2014,"Virginia Conference • March 23, 2013 - ""30th Anniversary of SDI & Strategic Defense of Earth""",2013-01-01,,,page,2703,,create,,1,"match score 4: SDI 30th Anniversary Conference • March 23, 2013; dates are proposals — fix start/end",,
2013-konferenz-york-januar-2013,PLoHwt4KyUk5CAClgFOTY1XtU2aL5dUV1w,nyc20130126|music-nyc20130126|2013|2013-de|2013-es|2013-fr|2013-ru|ny20130126|vormittag-ny20130126|sterling-sdi2013|sterling-sdi2013-de|concert-sdi2013|concert-sdi2013-de|frankfurt-april-2013|frankfurt-april-2013-fr|sterling-conferencia-ee-uu-marzo-2013|%d1%84%d1%80%d0%b0%d0%bd%d0%ba%d1%84%d1%83%d1%80%d1%82-%d0%b0%d0%bf%d1%80%d0%b5%d0%bb%d1%8f-2013-%d0%b3|francfort-abril-de-2013|francfort-avril2013|francfort-avril2013-panel1|san-francisco-2013|san-francisco-juni-2013|music-sf2013|30th-anniversary-new-york-2014|music-30th-anniversary-new-york-2014|paris-konferenz-2015-de|paris-konferenz-2015-de-2,Konferenz in New York • 26. Januar 2013,2013-01-01,,,page,2322,,create,,1,"match score 4: Konferenz in New York • 26. Januar, 2013; dates are proposals — fix start/end",,
2013-york-january-2013-paradigm,PLoHwt4KyUk5BJEpEMcQhl4UitRFQW36nR,nyc20130126|music-nyc20130126|2013|2013-de|2013-es|2013-fr|2013-ru|ny20130126|vormittag-ny20130126|sterling-sdi2013|sterling-sdi2013-de|concert-sdi2013|concert-sdi2013-de|frankfurt-april-2013|frankfurt-april-2013-fr|sterling-conferencia-ee-uu-marzo-2013|%d1%84%d1%80%d0%b0%d0%bd%d0%ba%d1%84%d1%83%d1%80%d1%82-%d0%b0%d0%bf%d1%80%d0%b5%d0%bb%d1%8f-2013-%d0%b3|francfort-abril-de-2013|francfort-avril2013|francfort-avril2013-panel1|san-francisco-2013|san-francisco-juni-2013|music-sf2013|30th-anniversary-new-york-2014|music-30th-anniversary-new-york-2014,"New York Conference • January 26, 2013 - “A New Paradigm to Save Mankind”",2013-01-01,,,page,2086,,create,,1,"match score 3: New York Conference • January 26, 2013; dates are proposals — fix start/end",,
2013-rescuing-civilization-brink,PLoHwt4KyUk5AsnNx7nycEuDeZdk_M8QjU,,Rescuing Civilization from the Brink,2013-01-01,,,none,,,create_only,,1,no WP match; dates are proposals — fix start/end,,
2012-interviews-2012-germany,PLoHwt4KyUk5BfvfBdUdrOsCoh8iPsNd-s,conference201211|konferenz2012|2012-2|2012-2-ru|conference2012-2|concert-conference2012-2|conference2012-3|francfort-2012,Interviews - Schiller Institute Conference 2012 Germany,2012-01-01,,,page,922,,create,,1,"match score 1: International Conference • November 24-25, 2012; dates are proposals — fix start/end",,
2012-apres-euro,PLoHwt4KyUk5B24XjIcpmjlkX9UyhKjfN-,,Panel 4: Il y a une vie après l'euro!,2012-01-01,,,none,,,create_only,,1,no WP match; dates are proposals — fix start/end,,
2012-theme-grand-moyen-orient,PLoHwt4KyUk5CkSFY9l6aOclJ0WvvhXz7W,,Thème 1: Le grand moyen-orient,2012-01-01,,,none,,,create_only,,1,no WP match; dates are proposals — fix start/end,,
2012-there-life-after-euro,PLoHwt4KyUk5CSlUMRnU94byqwIDKlSVLO,,Panel 4: There Is Life After the Euro!,2012-01-01,,,none,,,create_only,,1,no WP match; dates are proposals — fix start/end,,
2012-thema-raum-nahost-frankfurter,PLoHwt4KyUk5CXbNFDvh7mqHBXf9_2Wc-B,konferenz2012|thema-1|thema-4|thema-3|thema-2|thema-kultur|paris-konferenz-2015-de|paris-konferenz-2015-de-2,Thema 1: Großraum Nahost - Frankfurter Konferenz,2012-01-01,,,page,1489,,create,,1,"match score 1: Internationale Konferenz, 24.-25. November 2012; dates are proposals — fix start/end",,
2012-greater-middle-east,PLoHwt4KyUk5C-zb72CSDYt5qZ3ff5JrYf,,Panel 1: The Greater Middle-East,2012-01-01,,,none,,,create_only,,1,no WP match; dates are proposals — fix start/end,,
2012-thema-gibt-leben-nach,PLoHwt4KyUk5DSb88eDpAzDxas_Zli4ViN,konferenz2012|thema-1|thema-4|thema-3|thema-2|thema-kultur,Thema 4: Es gibt ein Leben nach dem Euro! - Frankfurter Konf,2012-01-01,,,page,1489,,create,,1,"match score 1: Internationale Konferenz, 24.-25. November 2012; dates are proposals — fix start/end",,
yyyy-%d0%ba%d0%be%d0%bd%d1%86%d0%b5%d1%80%d1%82,,%d0%ba%d0%be%d0%bd%d1%86%d0%b5%d1%80%d1%82,%D0%Ba%D0%Be%D0%Bd%D1%86%D0%B5%D1%80%D1%82,,,,none,,,create_only,,1,"portfolio-only conference (8 presentations, no YT playlist) — name/date need review",,
yyyy-article,,article,Article,,,,none,,,create_only,,1,"portfolio-only conference (3 presentations, no YT playlist) — name/date need review",,
yyyy-artikel,,artikel,Artikel,,,,none,,,create_only,,1,"portfolio-only conference (3 presentations, no YT playlist) — name/date need review",,
yyyy-concert,,concert,Concert,,,,none,,,create_only,,1,"portfolio-only conference (5 presentations, no YT playlist) — name/date need review",,
yyyy-concert-classique,,concert-classique,Concert Classique,,,,none,,,create_only,,1,"portfolio-only conference (5 presentations, no YT playlist) — name/date need review",,
yyyy-greetings,,greetings,Greetings,,,,none,,,create_only,,1,"portfolio-only conference (4 presentations, no YT playlist) — name/date need review",,
yyyy-klassisches-konzert,,klassisches-konzert,Klassisches Konzert,,,,none,,,create_only,,1,"portfolio-only conference (8 presentations, no YT playlist) — name/date need review",,
yyyy-konzert,,konzert,Konzert,,,,none,,,create_only,,1,"portfolio-only conference (5 presentations, no YT playlist) — name/date need review",,
yyyy-messages,,messages|messages-fr,Messages,,,,none,,,create_only,,1,"portfolio-only conference (9 presentations, no YT playlist) — name/date need review",,
yyyy-musik,,musik,Musik,,,,none,,,create_only,,1,"portfolio-only conference (3 presentations, no YT playlist) — name/date need review",,
