legacy_id,tier,language,trid,date,slug,title,legacy_url,current_rule,current_type,yt_embeds,yt_embed_ids,yt_links,panel_headings,agenda_headings,speaker_lines,title_event,event_markers,conference_key,conf_source,conf_match_note,seg_covered,words,evidence,action_needed,needs_review,proposed_action,final_action,reviewer,notes
93027,A,en,157624,2022-11-21,conference-stop-the-danger-of-nuclear-war-now,Conference: Stop the Danger of Nuclear War Now,/blog/2022/11/21/conference-stop-the-danger-of-nuclear-war-now/,R9,post,2,zeZj82s19ss|0v4nwCZJlx4,0,Panel 1: Stopping the Doomsday Clock — The Common Good of the One Humanity|Panel 2: Peace Through Development,Question & Answer Session|Question & Answer Session,0,1,,2022-2022-stop-danger-nuclear,conference-map,match score 3: Conference: Stop the Danger of Nuclear War Now; dates are proposals — fix start/end,1/2,591,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2022-2022-stop-danger-nuclear,,,
94709,A,en,157865,2023-02-03,conference-the-age-of-reason-or-the-annihilation-of-humanity,Conference: The Age of Reason or the Annihilation of Humanity?,/blog/2023/02/03/conference-the-age-of-reason-or-the-annihilation-of-humanity/,R9,post,2,yvb5qML-_os|TmWFAdBk-VA,0,"Panel 1 — Saturday, February 4, 10am EDT, 4pm CET|Panel 2 — 2pm EDT, 8pm CET",Question and Answer Session|Question and Answer Session,0,1,cet|edt,2023-february-reason-annihilation-humanity,conference-map,match score 3: Conference: The Age of Reason or the Annihilation of Humanity?; dates are proposals — fix start/end,2/2,606,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2023-february-reason-annihilation-humanity,,,
102742,A,en,159315,2024-06-07,emergency-press-conference-the-danger-of-nuclear-war-is-real,"Emergency Press Conference: The Danger of Nuclear War Is Real, and Must Be Stopped",/blog/2024/06/07/emergency-press-conference-the-danger-of-nuclear-war-is-real/,R9,si_video,2,aOrmFJXyAVI|UT3-K8Pme7o,0,,,0,1,live stream|rsvp,2024-press-danger-nuclear-real,conference-map,"match score 5: Emergency Press Conference: The Danger of Nuclear War Is Real, and Mus; dates are proposals — fix start/end",1/2,1125,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2024-press-danger-nuclear-real,,,same-trid sibling(s) not flagged: 102777 — decide the whole group
46466,A,en,19411,2018-04-05,a-dialogue-of-three-presidencies-bending-the-arc-of-the-moral-universe-toward-justice,A Dialogue of Three Presidencies: Bending the Arc of the Moral Universe Toward Justice,/blog/2018/04/05/a-dialogue-of-three-presidencies-bending-the-arc-of-the-moral-universe-toward-justice/,R9,post,1,90SAushN6qs,0,,,0,0,est,2018-april-manhattan-dialogue-three,conference-map,no WP match; dates are proposals — fix start/end; match: post 46466 A Dialogue of Three Presidencies; FLAG(mk): action=create_only yet wp_match_type=post id 46466 present — machine-set inconsistency p,1/1,300,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2018-april-manhattan-dialogue-three,,,
46936,A,en,19502,2018-07-03,schiller-institute-conference-in-bad-soden-panel-1,Schiller Institute Conference in Bad Soden: Panel 1,/blog/2018/07/03/schiller-institute-conference-in-bad-soden-panel-1/,R9,post,1,i4SlJy4KjEI,0,,,0,1,,2017-francais-soden|2019-november-2019-soden,conference-map,match score 1: Schiller Institute Conference in Bad Soden: Panel 1; dates are proposals — fix start/end ; match score 1: Schiller Institute Conference in Bad Soden: Panel 1; dates are proposals — fix ,1/1,52,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2017-francais-soden,,,
92344,A,en,157529,2022-10-25,conference-for-world-peace-stop-the-danger-of-world-peace,Conference: For World Peace — Stop the Danger of World War,/blog/2022/10/25/conference-for-world-peace-stop-the-danger-of-world-peace/,R9,post,1,EPzf4bpsrko,0,,Speakers include:,0,1,edt,2023-january-stop-nato-world,conference-map,match score 2: Conference: For World Peace — Stop the Danger of World War; dates are proposals — fix start/end; alt candidate: id 94644 Conference Invitation: Building an Alternative to ,0/1,572,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2023-january-stop-nato-world,,,
19579,A,de,16640,2014-09-08,seidenstrassenkonferenz-in-beijing-helga-zepp-larouche-spricht-ueber-prinzipien-der-neuen-weltwirtschaftsordnung,Seidenstraßenkonferenz in Beijing: Helga Zepp-LaRouche spricht über Prinzipien der neuen Weltwirtschaftsordnung,/blog/2014/09/08/seidenstrassenkonferenz-in-beijing-helga-zepp-larouche-spricht-ueber-prinzipien-der-neuen-weltwirtschaftsordnung/,R9,post,0,,0,,,0,0,,2015-neue-seidenstra-beginn-einer,conference-map,match score 3: Seidenstraßenkonferenz in Beijing: Helga Zepp-LaRouche spricht über Pr; dates are proposals — fix start/end; alt candidate: id 25933 Berlin Konferenz,0/0,313,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2015-neue-seidenstra-beginn-einer,,,
34132,A,de,18050,2016-04-11,manhattan-conference-building-a-world-land-bridge-realizing-mankinds-true-humanity-april-7th,Landbrücken-Konferenz des Schiller-Instituts in New York,/blog/2016/04/11/manhattan-conference-building-a-world-land-bridge-realizing-mankinds-true-humanity-april-7th/,R9,post,0,,1,,,0,1,,2016-york-september-2016-memorial,conference-map,match score 1: Landbrücken-Konferenz des Schiller-Instituts in New York; dates are proposals — fix start/end; alt candidate: id 34203 Conference Berlin 2016 June 25-26,0/0,455,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2016-york-september-2016-memorial,,,
47338,A,en,19554,2018-07-15,helga-zepp-larouche-spricht-bei-konferenz-des-mandela-instituts,Helga Zepp-LaRouche Addresses Institut Mandela Conference in Paris,/blog/2018/07/15/helga-zepp-larouche-spricht-bei-konferenz-des-mandela-instituts/,R9,post,0,,0,,,0,1,,2017-paris-octobre-2017,conference-map,match score 1: Helga Zepp-LaRouche Addresses Institut Mandela Conference in Paris; dates are proposals — fix start/end,0/0,3586,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2017-paris-octobre-2017,,,same-trid sibling(s) not flagged: 47326 — decide the whole group
60668,A,en,21422,2020-07-12,schiller-institute-representative-participates-in-major-china-arab-world-conference,Schiller Institute Representative Participates in Major China-Arab World Conference,/blog/2020/07/12/schiller-institute-representative-participates-in-major-china-arab-world-conference/,R9,post,0,,0,,,0,1,,2021-march-world-crossroad-months,conference-map,match score 1: Schiller Institute Representative Participates in Major China-Arab Wor; dates are proposals — fix start/end; alt candidate: id 73868 Conference: The Moral Collapse of the Trans-Atlant,0/0,409,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2021-march-world-crossroad-months,,,same-trid sibling(s) not flagged: 60695 — decide the whole group
62334,A,de,21661,2020-09-10,internationale-pressemitteilung-schiller-institut-haelt-bahnbrechende-konferenz-ab,Internationale Pressemitteilung: Schiller-Institut hält bahnbrechende Konferenz ab,/blog/2020/09/10/internationale-pressemitteilung-schiller-institut-haelt-bahnbrechende-konferenz-ab/,R4,si_statement,0,,0,,,0,1,,2019-presidents-national-2019,conference-map,match score 1: Internationale Pressemitteilung: Schiller-Institut hält bahnbrechende ; dates are proposals — fix start/end,0/0,818,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2019-presidents-national-2019,,,
63165,A,en,21803,2020-10-13,conference-china-and-the-west-face-to-face-rivalry-or-cooperation,"Conference: China and the West Face to Face: Rivalry or Cooperation -- October 21, 2020",/blog/2020/10/13/conference-china-and-the-west-face-to-face-rivalry-or-cooperation/,R9,post,0,,0,,Speakers:,0,1,register here|rsvp,2020-april-2020,conference-map,match score 1: Conference: China and the West Face to Face: Rivalry or Cooperation --; dates are proposals — fix start/end,0/0,344,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2020-april-2020,,,
85224,A,en,156383,2022-02-23,petition-convoke-an-international-conference-to-establish-a-new-security-and-development-architecture-for-all-nations,PETITION: Convoke an International Conference to Establish A New Security and Development Architecture for All Nations,/blog/2022/02/23/petition-convoke-an-international-conference-to-establish-a-new-security-and-development-architecture-for-all-nations/,R6,si_statement,0,,0,,,0,1,,2022-april-2022-establish-security,conference-map,match score 5: PETITION: Convoke an International Conference to Establish A New Secur; dates are proposals — fix start/end,0/0,665,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2022-april-2022-establish-security,,,same-trid sibling(s) not flagged: 85261 — decide the whole group
88412,A,en,156959,2022-06-17,conference-there-can-be-no-peace-without-the-bankruptcy-reorganization-of-the-dying-trans-atlantic-financial-system,Conference: There Can Be No Peace Without the Bankruptcy Reorganization of the Dying Trans-Atlantic Financial System,/blog/2022/06/17/conference-there-can-be-no-peace-without-the-bankruptcy-reorganization-of-the-dying-trans-atlantic-financial-system/,R9,post,0,,4,,Moderator: Stephan Ossenkopp,0,1,,2022-there-peace-without-bankruptcy,conference-map,match score 10: Conference: There Can Be No Peace Without the Bankruptcy Reorganizatio; dates are proposals — fix start/end,0/0,681,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2022-there-peace-without-bankruptcy,,,
91162,A,en,157363,2022-09-09,conference-inspiring-humanity-to-survive-the-greatest-crisis-in-world-history,Conference: Inspiring Humanity to Survive the Greatest Crisis in World History,/blog/2022/09/09/conference-inspiring-humanity-to-survive-the-greatest-crisis-in-world-history/,R9,post,0,,4,"Panel 1 — 10am EDT, 4pm CET|Panel 2 — 2pm EDT, 8pm CET|Panel 3 — 10am EDT, 4pm CET|Panel 4 — 2pm EDT, 8pm CET",Moderator: Dennis Small,0,1,cet|edt,2022-inspiring-humanity-survive-greatest,conference-map,match score 7: Conference: Inspiring Humanity to Survive the Greatest Crisis in World; dates are proposals — fix start/end,0/0,401,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2022-inspiring-humanity-survive-greatest,,,
92773,A,de,157582,2022-11-13,schiller-institut-spricht-bei-brics-forschungskonferenz,Schiller-Institut spricht bei BRICS-Forschungskonferenz,/blog/2022/11/13/schiller-institut-spricht-bei-brics-forschungskonferenz/,R9,post,0,,0,,,0,0,,2023-strategic-situation-after-historic,conference-map,match score 1: Schiller-Institut spricht bei BRICS-Forschungskonferenz; dates are proposals — fix start/end,0/0,933,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2023-strategic-situation-after-historic,,,
98310,A,en,158684,2023-08-11,conference-let-us-join-hands-with-the-global-majority-to-create-a-new-chapter-in-world-history,Conference: Let us Join Hands with the Global Majority To Create a New Chapter in World History!,/blog/2023/08/11/conference-let-us-join-hands-with-the-global-majority-to-create-a-new-chapter-in-world-history/,R4,post,0,,0,,,0,1,,2023-join-hands-global-majority,conference-map,match score 8: Conference: Let us Join Hands with the Global Majority To Create a New; dates are proposals — fix start/end,0/0,581,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2023-join-hands-global-majority,,,same-trid sibling(s) not flagged: 98417 — decide the whole group
105075,A,en,159607,2024-10-23,helga-zepp-larouche-raises-nuclear-war-danger-at-berlin-china-europe-conference-on-human-rights,Helga Zepp-LaRouche Raises Nuclear War Danger at Berlin China-Europe Conference on Human Rights,/blog/2024/10/23/helga-zepp-larouche-raises-nuclear-war-danger-at-berlin-china-europe-conference-on-human-rights/,R5.1,si_coverage,0,,0,,,0,1,,2025-berlin-wolf-paradigm-relations,conference-map,match score 1: Helga Zepp-LaRouche Raises Nuclear War Danger at Berlin China-Europe C; dates are proposals — fix start/end; alt candidate: id 109737 Berlin Konferenz,0/0,242,named in the reviewed conference-map as this conference’s WP match,1,1,attach:2025-berlin-wolf-paradigm-relations,,,same-trid sibling(s) not flagged: 105077 — decide the whole group
58317,B,de,21085,2020-03-29,conference-mankinds-existence-now-depends-on-the-establishment-of-a-new-paradigm,Internet-Konferenz: Die Existenz der Menschheit hängt jetzt von der Schaffung eines neuen Paradigmas ab!,/blog/2020/03/29/conference-mankinds-existence-now-depends-on-the-establishment-of-a-new-paradigm/,R4,post,33,9s60KEnSYhg|wYRQ6Q4UriA|lKR-bJnFjA4|iDfdrUg1qFY|LxLY6WAXlKU|tagOANCLcNU|pqUYC4xoG5w|RPPHhwtagdU|RN3Hf84j0Ss|So_bEpbsdYE|8eE3SCq3SV4|loxbJ23KrHs|Z7dHLFMznlk|P2j_9ko205U|SmIiVvqjtIQ|a3V_u--afPM|ZmUXH-8N3QM|v2xpc2gGhcc|uuHAKhxuEbA|Bi9d31Tosjk|cp1kt-hmIbc|R93Se1ClB9s|pKTspw4UBmQ|Z1GRTb6Nt60|D3WRFjKGNT0|hwXE1rKAv0c|g7cGiOvl68w|4ZErz372yuk|0k3bI3gzOwY|iP4DJUok9Uo|rUrXMwPS3OM|YHQNNTphZs8|f_LVVdaIkA0,2,,,0,1,,,,,0/33,33970,multi-video record (33 embeds) + programme structure,1,1,conference,,,
41722,B,en,18737,2017-07-14,symposium-aesthetic-education-humanity-music-concluding-event-two-day-tribute-sylvia-olden-lee,"Symposium:  ""The Aesthetic Education of Humanity Through Music"" Concluding Event of Two Day Tribute to Sylvia Olden Lee",/blog/2017/07/14/symposium-aesthetic-education-humanity-music-concluding-event-two-day-tribute-sylvia-olden-lee/,R9,post,12,zjHA4tcULsQ|V9qifdjwmfU|naQv290kjPc|bJgrzGJMEAM|QrAHjHmwLo8|6GUmA55J4hE|EN9EMFCO8zY|WjyHGyBMduU|ILnjs6DxPtE|PebY03U8jQs|9dQudoJRcy8|em2Ns7W2yIE,0,,,0,1,took place,2017-symposium-aesthetic-education-humanity,video-segmentation,,11/12,727,embeds video(s) already segmented under conference 2017-symposium-aesthetic-education-humanity,1,1,attach:2017-symposium-aesthetic-education-humanity,,,
94686,B,en,157862,2023-02-02,february-4-conference-invitations-in-support-of-pope-franciss-initiative-for-peace-negotiations,February 4 Conference Invitations— In Support of Pope Francis's Initiative for Peace Negotiations,/blog/2023/02/02/february-4-conference-invitations-in-support-of-pope-franciss-initiative-for-peace-negotiations/,R9,post,11,y7xqXhMWDPg|nI6cmp4h0OY|EylyTR0UG8o|GxyogMEYuzI|9kxvX8yCJG8|10F_dK9Rm3U|Z0h3DUQKhDY|-1q-6DRw264|uYQrwWAqrZ4|FhkN6KIoUgs|bbsJ2jzuGnQ,0,,,0,1,,2023-february-reason-annihilation-humanity,video-segmentation,,2/11,62,embeds video(s) already segmented under conference 2023-february-reason-annihilation-humanity,1,1,attach:2023-february-reason-annihilation-humanity,,,
48943,B,de,19812,2018-10-25,seminar-in-berlin-felix-jemen-statt-volkermord,Seminar in Berlin: „Felix Jemen“ statt Völkermord!,/blog/2018/10/25/seminar-in-berlin-felix-jemen-statt-volkermord/,R9,post,8,0gCAT1AKQjQ|v7oVtOdwyf0|LROO1miF28U|UBC4yXkJ1Uc|_6JA_D0RRqQ|o7AxuWG3Mg0|AjAHG0oaWRg|Du1QzcR30wg,0,,,0,1,,,,,0/8,1642,multi-video record (8 embeds) + programme structure,1,1,conference,,,
55610,B,en,20735,2019-09-04,schiller-institute-seminar-the-role-of-the-belt-road-in-peace-and-stability-in-west-asia-africa,Schiller Institute Seminar: The Role of the Belt & Road in Peace and Stability in West Asia & Africa,/blog/2019/09/04/schiller-institute-seminar-the-role-of-the-belt-road-in-peace-and-stability-in-west-asia-africa/,R9,post,8,9pRjqB_o1ag|Ms_eanj_5SU|2vrt1seg5mw|TPyii7MuZhE|d5xaJsJFbiw|bNw22dx2CHI|FowWPQHtU14|uUvTDRcpV3c,0,,,0,1,,,,,0/8,830,multi-video record (8 embeds) + programme structure,1,1,conference,,,
55839,B,de,20766,2019-09-16,seminar-ein-rationaler-dialog-uber-die-ausenpolitischen-absichten-chinas,Seminar: Ein rationaler Dialog über die außenpolitischen Absichten Chinas,/blog/2019/09/16/seminar-ein-rationaler-dialog-uber-die-ausenpolitischen-absichten-chinas/,R9,post,8,9pRjqB_o1ag|Ms_eanj_5SU|2vrt1seg5mw|TPyii7MuZhE|d5xaJsJFbiw|bNw22dx2CHI|FowWPQHtU14|uUvTDRcpV3c,0,,,0,1,,,,,0/8,978,multi-video record (8 embeds) + programme structure,1,1,conference,,,
60226,B,de,21364,2020-06-26,conference-will-humanity-prosper-or-perish-the-future-demands-a-four-power-summit-now-2,27. Juni Konferenz: Wird die Menschheit prosperieren oder untergehen? Die Zukunft erfordert ein sofortiges Vier-Mächte-Gipfeltreffen,/blog/2020/06/26/conference-will-humanity-prosper-or-perish-the-future-demands-a-four-power-summit-now-2/,R4,post,7,JYi9PbT5l5w|kBA5V7e-p0c|NWpX3bhtWPY|bDL_Y1PwnNc|VdjN0YftTP4|peLgTkegS-Q|qOW9yUm2s1A,0,"Panel I — „Statt Geopolitik: Die Prinzipien der Staatskunst“|Panel II — „Produzenten der Welt, vereinigt euch! Warum ein Programm für 1,5 Milliarden produktive Arbeitsplätze Krieg, Hunger, Armut und Krankheit beenden kann“|Panel III — „Die Aufgabe der Jugend“",,0,1,,,,,0/7,19469,multi-video record (7 embeds) + programme structure,1,1,conference,,,
61731,B,de,21562,2020-08-13,conference-war-drive-towards-armageddon-or-a-new-paradigm-among-sovereign-nations-united-by-the-common-aims-of-mankind,"Internet-Konferenz: Kriegstreiberei bis zum Armageddon oder ein neues Paradigma souveräner Nationen, geeint durch die gemeinsamen Ziele der Menschheit?",/blog/2020/08/13/conference-war-drive-towards-armageddon-or-a-new-paradigm-among-sovereign-nations-united-by-the-common-aims-of-mankind/,R9,post,6,CrLqysvTPCw|aiaa0DkUifE|p4ddlnKJPKg|TPT6OLRb7MA|3wSOLdDY1rY|y71F7QeFtMo,0,,,0,1,,,,,0/6,6347,multi-video record (6 embeds) + programme structure,1,1,conference,,,
63230,B,de,21803,2020-10-13,conference-china-and-the-west-face-to-face-rivalry-or-cooperation,Internationale Konferenz des Schiller-Instituts am 21. Oktober: „China und der Westen von Angesicht zu Angesicht: Rivalität oder Kooperation“,/blog/2020/10/13/conference-china-and-the-west-face-to-face-rivalry-or-cooperation/,R5.1,post,6,7Pjc5g6ZCNE|RSK0Iuneoho|DOlNjFv5fY0|JMBEGgwwAkE|gEsyqmzAGjM|YNkrlvtqwJ0,2,,,0,1,,,,,0/6,256,multi-video record (6 embeds) + programme structure,1,1,conference,,,
