legacy_id,title,current_type,status,date,lang,slug,proposed_type,confidence,decided_by,topics,region,campaign,series,person_hints,auto_apply,final_type,reviewer_note,note
421,Portfolio Item 20,portfolio,publish,2012-11-14,en,portfolio-item-20,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
422,Portfolio Item 21,portfolio,publish,2012-11-14,en,portfolio-item-21,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
423,Portfolio Item 22,portfolio,publish,2012-11-14,en,portfolio-item-22,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
424,Portfolio Item 23,portfolio,publish,2012-11-14,en,portfolio-item-23,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
425,Portfolio Item 24,portfolio,publish,2012-11-14,en,portfolio-item-24,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
426,Portfolio Item 25,portfolio,publish,2012-11-14,en,portfolio-item-25,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
427,Portfolio Item 26,portfolio,publish,2012-11-14,en,portfolio-item-26,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
428,Portfolio Item 27,portfolio,publish,2012-11-14,en,portfolio-item-27,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
429,Portfolio Item 28,portfolio,publish,2012-11-14,en,portfolio-item-28,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
430,Portfolio Item 29,portfolio,publish,2012-11-14,en,portfolio-item-29,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
431,Portfolio Item 30,portfolio,publish,2012-11-14,en,portfolio-item-30,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
432,Portfolio Item 31,portfolio,publish,2012-11-14,en,portfolio-item-31,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
433,Portfolio Item 32,portfolio,publish,2012-11-14,en,portfolio-item-32,retire,high,auto,,,,,,TRUE,,,deterministic: vanguard demo item
821,hello test,portfolio,publish,2012-12-07,en,hello-test,retire,medium,llm,,,,,,FALSE,,,"test stub ('hello test', 41 chars); excerpt only names Ambassador Ali Reza Sheikh Attar"
864,Home,page,publish,2012-12-07,en,home-2,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
885,Helga Zepp-LaRouche: Only A Complete Change In Paradigm Can Avoid Catastrophe,portfolio_cpt,publish,2012-12-07,en,only-a-complete-change-in-paradigm-can-avoid-catastrophe,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
891,Panel 1: The Great Middle East,page,publish,2012-12-07,en,20121124panel-1-the-great-middle-east,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
895,Contact,page,publish,2012-12-07,en,contact-us,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
900,Ambassador Attar: The Global Consequences of Instability in the Middle East,portfolio_cpt,publish,2012-12-07,en,the-global-consequences-of-instability-in-the-middle-east,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
922,"International Conference • November 24-25, 2012",page,publish,2012-12-07,en,international-conference-november-24-25-2012,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
924,Sitemap,page,publish,2012-12-07,en,sitemap,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
930,Hussein Askary: A Revolutionary Development Plan for the Near and Middle East,portfolio_cpt,publish,2012-12-07,en,a-revolutionary-development-plan-for-the-near-and-middle-east,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
946,Dr. Güell: Multiple Civilian Benefits of Satellites: The Example of Health,portfolio_cpt,publish,2012-12-07,en,multiple-civilian-benefits-of-satellites-the-example-of-health,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
958,Panel 2: Space Cooperation and Other Common Aims of Mankind,page,publish,2012-12-07,en,panel-2-space-cooperation-and-other-common-aims-of-mankind,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1012,Prof. Hankel: Does The Euro Have a Chance of Surviving?,portfolio_cpt,publish,2012-12-10,en,prof-hankel-does-the-euro-have-a-chance-of-surviving,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1017,Michael Billington: The British Empire Versus Leibnizian Development,portfolio_cpt,publish,2012-12-10,en,michael-billington-the-british-empire-versus-leibnizian-development,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1028,Daniel Estulin: The Way Out of The Spanish Crisis,portfolio_cpt,publish,2012-12-11,en,daniel-estulin-the-way-out-of-the-spanish-crisis,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1032,George Tsobanoglou: The Dynamics of the Greek Crisis,portfolio_cpt,publish,2012-12-11,en,george-tsobanoglou-the-dynamics-of-the-greek-crisis,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1034,Prof. Katsanevas: The Solution For Greece,portfolio_cpt,publish,2012-12-11,en,prof-katsanevas-the-solution-for-greece,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1037,Helga Zepp-LaRouche: There is life after the Euro! (Introduction),portfolio_cpt,publish,2012-12-11,en,helga-zepp-larouche-there-is-life-after-the-euro-introduction,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1039,"Mulugeta Zewdie Michael: The ""Grand Millennium Dam"" Project",portfolio_cpt,publish,2012-12-11,en,mulugeta-zewdie-michael-the-grand-millennium-dam-project,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1054,Aiman Rsheed: Africa Pass,portfolio_cpt,publish,2012-12-11,en,aiman-rsheed-africa-pass,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1057,Lyndon LaRouche: The Crucial Issue of This Crisis,portfolio_cpt,publish,2012-12-11,en,lyndon-larouche-the-crucial-issue-of-this-crisis,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1062,Jacques Cheminade: The Mission of Europe Versus the British Empire,portfolio_cpt,publish,2012-12-11,en,jacques-cheminade-the-mission-of-europe-versus-the-british-empire,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1066,Didier Schmitt: The ExoMars Project,portfolio_cpt,publish,2012-12-11,en,didier-schmitt-the-exomars-project,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1072,Panel 3: The Alternative To World War and Chaos,page,publish,2012-12-11,en,panel-3-the-alternative-to-world-war-and-chaos,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1078,Panel 4: There Is Life After the Euro! What Kind of a Europe Do We Want?,page,publish,2012-12-11,en,panel-4-there-is-life-after-the-euro-what-kind-of-a-europe-do-we-want,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1087,Two Opposing Worlds Meet; Development or Death,post,publish,2012-12-11,en,two-opposing-worlds-meet-development-or-death,article,high,auto,Energy & Environment,,,,,TRUE,,,deterministic: default (least-disruptive)
1092,Stop Green Fascism,page,publish,2012-12-11,en,stop-green-fascism,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1098,Our Campaign,page,publish,2012-12-11,en,our-campaign,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1103,About Us,page,publish,2012-12-11,en,about-us,page,high,llm,,,,,Helga Zepp-LaRouche,TRUE,,,
1158,Toward a Renaissance of Classical Culture,page,publish,2012-12-12,en,a-new-renaissance,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1161,The World Land-Bridge,page,publish,2012-12-12,en,build-the-world-land-bridge,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1163,Stop World War III,page,publish,2012-12-12,en,stop-war,si_statement,high,llm,Peace & Strategy,Global,,,,TRUE,,,
1186,Helga Zepp-LaRouche: Nur ein vollständiger Wechsel des Paradigmas kann eine Katastrophe verhindern,portfolio_cpt,publish,2012-12-13,de,helga-zepp-larouche-nur-ein-vollstandiger-wechsel-des-paradigmas-kann-eine-katastrophe-verhindern,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1206,Kontakt,page,publish,2012-12-13,de,kontakt,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1238,Classical Concert,page,publish,2012-12-13,en,classical-concert,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1244,Start,page,publish,2012-12-17,de,start,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1256,Accueil,page,publish,2012-12-17,fr,accueil,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1270,S.E. Ali Reza Sheik Attar: Die globalen Konsequenzen von Instabilität im Mittleren Osten,portfolio_cpt,publish,2012-12-17,de,s-e-ali-reza-sheik-attar-die-globalen-konsequenzen-von-instabilitat-im-mittleren-osten,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1275,,portfolio_cpt,draft,2012-12-17,en,,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1277,Hussein Askary: Ein revolutionärer Entwicklungsplan für den Nahen und Mittleren Osten,portfolio_cpt,publish,2012-12-18,de,hussein-askary-ein-revolutionarer-entwicklungsplan-fur-den-nahen-und-mittleren-osten,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1284,"L. v. Beethoven – Fidelio: „Wer ein holdes Weib errungen"" (Finale)",portfolio_cpt,publish,2012-12-18,en,l-v-beethoven-fidelio-wer-ein-holdes-weib-errungen-finale,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1291,"L. v. Beethoven – Fidelio: „O welche Lust"" (Gefangenenchor)",portfolio_cpt,publish,2012-12-18,en,l-v-beethoven-fidelio-o-welche-lust-gefangenenchor,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1294,"L. v. Beethoven – Fidelio: „Mir ist so wunderbar"" (Quartet)",portfolio_cpt,publish,2012-12-18,en,l-v-beethoven-fidelio-mir-ist-so-wunderbar-quartet,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1299,"G. Verdi – Nabuccodonosor: „Va pensiero""",portfolio_cpt,publish,2012-12-18,en,g-verdi-nabuccodonosor-va-pensiero,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1302,I. Lachner – Trio in D major Op. 58,portfolio_cpt,publish,2012-12-18,en,i-lachner-trio-in-d-major-op-58,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1311,L. V. Beethoven – Fidelio: „Wer ein holdes Weib errungen” (finale),portfolio_cpt,publish,2012-12-18,de,l-v-beethoven-fidelio-wer-ein-holdes-weib-errungen-finale-2,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1316,"L. v. Beethoven -- Fidelio: „O welche Lust"" (Gefangenenchor)",portfolio_cpt,publish,2012-12-18,de,l-v-beethoven-fidelio-o-welche-lust-gefangenenchor-2,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1319,"L. v. Beethoven -- Fidelio: „Mir ist so wunderbar"" (Quartett)",portfolio_cpt,publish,2012-12-18,de,l-v-beethoven-fidelio-mir-ist-so-wunderbar-quartett,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1322,"G. Verdi -- Nabuccodonosor: „Va, pensiero""",portfolio_cpt,publish,2012-12-18,de,g-verdi-nabuccodonosor-va-pensiero-2,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1325,"I. Lachner -- Trio in D-dur Op. 58 für Geige, Bratsche und Klavier",portfolio_cpt,publish,2012-12-18,de,i-lachner-trio-in-d-dur-op-58-fur-geige-bratsche-und-klavier,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1332,Prof. Bassam Tahhan: Perspective for Peace for Syria and the Region,portfolio_cpt,publish,2012-12-18,en,prof-bassam-tahhan-perspective-for-peace-for-syria-and-the-region,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1336,Ghoncheh Tazmini: Re-Reading Iran – A Friend Rather than a Foe,portfolio_cpt,publish,2012-12-18,en,ghoncheh-tazmini-a-new-perspective-for-iran,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1351,Panel Discussion,page,publish,2012-12-18,en,panel-discussion,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1364,,portfolio_cpt,draft,2012-12-18,de,,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1366,,portfolio_cpt,draft,2013-01-01,fr,,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1412,Prof. Bassam Tahhan: Eine Friedensperspektive für Syrien und die Region,portfolio_cpt,publish,2012-12-30,de,prof-bassam-tahhan-eine-friedensperspektive-fur-syrien-und-die-region,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1417,Ghoncheh Tazmini: Eine neue Perspektive für den Iran,portfolio_cpt,publish,2012-12-31,de,ghoncheh-tazmini-eine-neue-perspektive-fur-den-iran,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1422,Theodore Katsanevas: Die Lösung für Griechenland,portfolio_cpt,publish,2012-12-31,de,theodore-katsanevas-die-losung-fur-griechenland,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1426,George O. Tsobanoglou: Die Dynamik der griechischen Krise,portfolio_cpt,publish,2012-12-31,de,george-o-tsobanoglou-die-dynamik-der-griechischen-krise,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1429,Daniel Estulin: Der Ausweg aus der spanischen Krise,portfolio_cpt,publish,2012-12-31,de,daniel-estulin-der-ausweg-aus-der-spanischen-krise,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1432,Helga Zepp-LaRouche: Es gibt ein Leben nach dem Euro! Was für ein Europa wollen wir?,portfolio_cpt,publish,2012-12-31,de,helga-zepp-larouche-es-gibt-ein-leben-nach-dem-euro-was-fur-ein-europa-wollen-wir,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1436,"Prof. Wilhelm Hankel: Hat der Euro eine Chance, zu überleben?",portfolio_cpt,publish,2012-12-31,de,prof-wilhelm-hankel-hat-der-euro-eine-chance-zu-uberleben,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1441,Jacques Cheminade: Die wahre Mission Europas vs. Britisches Empire,portfolio_cpt,publish,2012-12-31,de,jacques-cheminade-die-wahre-mission-europas-vs-britisches-empire,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1444,Lyndon LaRouche: Die entscheidende Frage dieser Krise,portfolio_cpt,publish,2012-12-31,de,lyndon-larouche-die-entscheidende-frage-dieser-krise,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1447,Dr. Didier Schmitt: Das ExoMars-Projekt,portfolio_cpt,publish,2012-12-31,de,dr-didier-schmitt-das-exomars-projekt,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1450,Dr. Antonio Güell: Vielfacher ziviler Nutzen von Satelliten am Beispiel des Gesundheitswesens,portfolio_cpt,publish,2012-12-31,de,dr-antonio-guell-vielfacher-ziviler-nutzen-von-satelliten-am-beispiel-des-gesundheitswesens,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1454,Africa Pass – Ein bahnbrechendes Konzept,portfolio_cpt,publish,2012-12-31,de,aiman-rsheed-africa-pass-ein-bahnbrechendes-konzept,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1457,"Mulugeta Zewdie Michael: Das Projekt des „Grand Millennium-Dammes""",portfolio_cpt,publish,2012-12-31,de,mulugeta-zewdie-michael-das-projekt-des-grand-millennium-dammes,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1460,Michael Billington: Der Kampf des Britischen Empire gegen Leibnizens Entwicklungsprogramm,portfolio_cpt,publish,2012-12-31,de,michael-billington-der-kampf-des-britischen-empire-gegen-leibnizens-entwicklungsprogramm,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1464,Lorella Presotto: What Italy's Future Depends On,portfolio_cpt,draft,2012-12-31,de,,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1466,Lorella Presotto: What Italy's Future Depends On,portfolio_cpt,publish,2012-12-31,en,lorella-presotto-what-italys-future-depends-on,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1470,A Renaissance of Classical Culture in Europe,portfolio_cpt,publish,2012-12-31,en,a-renaissance-of-classical-culture-in-europe,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1473,Eine Renaissance der klassischen Kultur in Europa,portfolio_cpt,publish,2012-12-31,de,eine-renaissance-der-klassischen-kultur-in-europa,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1477,Une renaissance de la culture classique en Europe,portfolio_cpt,publish,2012-12-31,fr,une-renaissance-de-la-culture-classique-en-europe,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1489,"Internationale Konferenz, 24.-25. November 2012",page,publish,2012-12-31,de,internationale-konferenz-24-25-november-2012,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1492,Klassisches Konzert,page,publish,2012-12-31,de,1492-2,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1498,Thema 1: Großraum Nahost,page,publish,2012-12-31,de,thema-1-grosraum-nahost,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1503,Thema 2: Raumfahrt und die gemeinsamen Ziele der Menschheit,page,publish,2012-12-31,de,thema-2-raumfahrt-und-die-gemeinsamen-ziele-der-menschheit,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1505,Thema 3: Die Alternative zu Weltkrieg und Chaos,page,publish,2012-12-31,de,thema-3-die-alternative-zu-weltkrieg-und-chaos,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1507,Thema 4: Es gibt ein Leben nach dem Euro! Was für ein Europa wollen wir?,page,publish,2012-12-31,de,thema-4-es-gibt-ein-leben-nach-dem-euro-was-fur-ein-europa-wollen-wir,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1515,Podiumsdiskussion,page,publish,2012-12-31,de,podiumsdiskussion,page,high,auto,,,,,,TRUE,,,deterministic: default (least-disruptive)
1564,Helga Zepp-LaRouche: Seul un changement de paradigme peut nous éviter la catastrophe,portfolio_cpt,publish,2013-01-01,fr,helga-zepp-larouche-seul-un-changement-de-paradigme-peut-nous-eviter-la-catastrophe-2,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1569,Ali Reza Sheikh Attar: Les conséquences globales de l'instabilité au moyen-orient,portfolio_cpt,publish,2013-01-01,fr,ali-reza-sheikh-attar-les-consequences-globales-de-linstabilite-au-moyen-orient,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1574,Hussein Askary: Un plan de développement révolutionnaire pour les proche et moyen-orient,portfolio_cpt,publish,2013-01-01,fr,hussein-askary-un-plan-de-developpement-revolutionnaire-pour-les-proche-et-moyen-orient,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1577,Bassam Tahhan: Une perspective pour la Paix en Syrie et dans la région,portfolio_cpt,publish,2013-01-01,fr,bassam-tahhan-une-perspective-pour-la-paix-en-syrie-et-dans-la-region,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1580,Ghoncheh Tazmini: Une perspective nouvelle pour l'Iran,portfolio_cpt,publish,2013-01-01,fr,ghoncheh-tazmini-une-perspective-nouvelle-pour-liran,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1584,"Antonio Güell: Les bénéfices des satellites pour les citoyens, l'exemple de la médecine",portfolio_cpt,publish,2013-01-01,fr,antonio-guell-les-benefices-des-satellites-pour-les-citoyens-lexemple-de-la-medecine,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1587,Didier Schmitt: Le projet Exomars,portfolio_cpt,publish,2013-01-01,fr,didier-schmitt-le-projet-exomars,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1591,"L. v. Beethoven - Fidelio: „Wer ein holdes Weib errungen"" (Finale)",portfolio_cpt,publish,2013-01-01,fr,l-v-beethoven-fidelio-wer-ein-holdes-weib-errungen-finale-3,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1597,"L. v. Beethoven - Fidelio: „O welche Lust"" (Gefangenenchor)",portfolio_cpt,publish,2013-01-01,fr,l-v-beethoven-fidelio-o-welche-lust-gefangenenchor-3,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1599,"L. v. Beethoven - Fidelio: „Mir ist so wunderbar"" (Quartet)",portfolio_cpt,publish,2013-01-01,fr,l-v-beethoven-fidelio-mir-ist-so-wunderbar-quartet-2,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1602,"G. Verdi - Nabuccodonosor: „Va pensiero""",portfolio_cpt,publish,2013-01-01,fr,g-verdi-nabuccodonosor-va-pensiero-3,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1607,"I. Lachner - Trio in D major Op. 58 for violin, viola and piano",portfolio_cpt,publish,2013-01-01,fr,i-lachner-trio-in-d-major-op-58-for-violin-viola-and-piano,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1610,Michael Billington: L'Empire britannique contre le développement leibnizien,portfolio_cpt,publish,2013-01-01,fr,michael-billington-lempire-britannique-contre-le-developpement-leibnizien,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1613,"Mulugeta Zewdie Michael: Le projet du ""barrage du grand millénaire""",portfolio_cpt,publish,2013-01-01,fr,mulugeta-zewdie-michael-le-projet-du-barrage-du-grand-millenaire,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1616,"Aiman Rsheed: Le Passage Africain, concept révolutionnaire pour l'Afrique et la Méditerranée",portfolio_cpt,publish,2013-01-01,fr,aiman-rsheed-le-passage-africain-concept-revolutionnaire-pour-lafrique-et-la-mediterranee,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1619,Lyndon LaRouche: L'enjeu crucial de cette crise,portfolio_cpt,publish,2013-01-01,fr,lyndon-larouche-lenjeu-crucial-de-cette-crise,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1622,Jacques Cheminade: La mission de l'Europe contre l'Empire britannique,portfolio_cpt,publish,2013-01-01,fr,jacques-cheminade-la-mission-de-leurope-contre-lempire-britannique,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1625,Prof. Wilhelm Hankel: L'euro a-t-il une chance de s'en sortir?,portfolio_cpt,publish,2013-01-01,fr,prof-wilhelm-hankel-leuro-a-t-il-une-chance-de-sen-sortir,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1629,Daniel Estulin: La voie pour sortir de la crise espagnole,portfolio_cpt,publish,2013-01-01,fr,daniel-estulin-la-voie-pour-sortir-de-la-crise-espagnole,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1632,George O. Tsobanoglou: Dynamique de la crise grecque,portfolio_cpt,publish,2013-01-01,fr,george-o-tsobanoglou-dynamique-de-la-crise-grecque,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1635,Theodore Katsanevas: La solution pour la Grèce,portfolio_cpt,publish,2013-01-01,fr,theodore-katsanevas-la-solution-pour-la-grece,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
1638,Helga Zepp-LaRouche: Il y a une vie après l'Euro! Quelle europe voulons-nous?,portfolio_cpt,publish,2013-01-01,fr,helga-zepp-larouche-il-y-a-une-vie-apres-leuro-quelle-europe-voulons-nous,si_presentation,high,auto,,,,,,TRUE,,,deterministic: portfolio_cpt
